interval	F1	read_check	cutoff	FinalCutoff
0_30	0.693069306930693	common-read	31	-5
130_160	0.2952815829528158	common-read	28	0
160_190	0.39751552795031053	common-read	31	5
170_200	0.3050847457627119	common-read	35	5
180_210	0.274442538593482	common-read	40	5
190_220	0.36486486486486486	common-read	36	5
200_230	0.5515463917525774	common-read	35	-5
210_240	0.5010799136069114	common-read	39	-5
220_250	0.3920595533498759	common-read	41	0
60_90	0.42105263157894735	common-read	38	5
70_100	0.450402144772118	common-read	43	5
80_110	0.3314917127071823	common-read	40	5
90_120	0.27071823204419887	common-read	34	5
