Sample	readID	stitle	readCheck
synthetic_stool_high_S7	CP002297.1-263638/2	FP	FP
synthetic_stool_high_S7	CP014239.1-506178/2	HD domain-containing protein [Selenomonas sp. oral taxon 136]	FP
synthetic_stool_high_S7	CP014148.1-18256/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S7	AM412317.1-770876/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S7	AM412317.1-94100/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S33	CP000728.1-100638/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP000728.1-300092/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP014148.1-359304/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP014148.1-349136/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-1724822/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-1607370/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-1576452/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-1538858/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-744350/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	CP002011.1-660144/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S14	AM412317.1-33818/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S11	CP002011.1-562332/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S11	CP006908.1-1277208/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S11	CP006908.1-1084248/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S43	AM412317.1-2513726/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S43	AM412317.1-2279118/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S43	AM412317.1-2194900/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S34	CP000939.1-68990/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S56	CP006908.1-304806/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S56	CP006908.1-78066/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S56	CP014148.1-2641546/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S56	CP014148.1-1689674/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S56	CP014148.1-648246/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S32	CP002011.1-2058328/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S32	CP002011.1-1241602/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S32	CP000939.1-104936/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S46	CP000728.1-2120018/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S46	CP000728.1-1930298/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S46	CP000728.1-1668246/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S46	CP000728.1-1395362/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_high_S46	CP000728.1-770774/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-5394950/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-5137460/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-4206898/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-2539476/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-1206928/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-673116/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	CP014148.1-250322/2	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
synthetic_stool_low_S10	AM412317.1-8792654/1	class V aminotransferase, partial [Clostridium botulinum CFSAN001627]	FP
