readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
gi|529222834|ref|NC_021985.1|-14668/2	synthetic_stool_high_S14	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-386086/2	synthetic_stool_high_S46	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-1356982/1	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-4020176/1	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-4149302/2	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-4579538/2	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-5982474/1	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-687234/2	synthetic_stool_low_S32	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-1343826/1	synthetic_stool_low_S34	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-2766540/1	synthetic_stool_low_S34	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-3997776/2	synthetic_stool_low_S34	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-6140/2	synthetic_stool_low_S47	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-1132230/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-11420836/2	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-12896310/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-1614152/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-304230/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-3198288/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-5151118/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-6560980/1	synthetic_stool_low_S51	low	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
