sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	595	496	CP001834.1-2315362/2	100	1	100	96	1.93e-43	synthetic_stool_low_S36	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	1006	907	CP001834.1-2315362/2	100	1	100	92	9.06e-37	synthetic_stool_low_S36	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	316	305	CP001834.1-2315362/2	100	75	86	100	0.34	synthetic_stool_low_S36	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	19	9	CP001834.1-2315362/2	100	77	87	100	1.2	synthetic_stool_low_S36	plus_five_score
GCA_000014485.1_ASM1448v1__CP000419.1_Streptococcus_thermophilus_LMD-9,_complete_genome__22160__lantipeptide__ANTISMASH__1771366_1793526-lanC	2160	2030	2041	CP001834.1-2315362/2	100	4	15	100	0.34	synthetic_stool_low_S36	plus_five_score
GCA_000014485.1_ASM1448v1__CP000419.1_Streptococcus_thermophilus_LMD-9,_complete_genome__22160__lantipeptide__ANTISMASH__1771366_1793526-lanC	2160	121	111	CP001834.1-2315362/2	100	36	46	100	1.2	synthetic_stool_low_S36	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098137419|emb|FOXX01000002.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00002.2,_whole_genome_shotgun_sequence__13138__lantipeptide__ANTISMASH__0_13138-lanC	2901	262	272	CP001834.1-2315362/2	100	36	46	100	1.2	synthetic_stool_low_S36	plus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	3009	2999	CP001834.1-2315362/2	100	55	65	100	1.2	synthetic_stool_low_S36	plus_five_score
Streptomyces_collinus_Tu_365__gi|529222834|ref|NC_021985.1|_Streptomyces_collinus_Tu_365,_complete_sequence__CP006259.1_4285683-4286939_chromosome-missing_from_antiSMASH	1257	734	833	gi|529222834|ref|NC_021985.1|-6406788/1	100	1	100	98	8.94e-47	synthetic_stool_low_S32	plus_five_score
Streptomyces_collinus_Tu_365__gi|529222834|ref|NC_021985.1|_Streptomyces_collinus_Tu_365,_complete_sequence__CP006259.1_4285683-4286939_chromosome-missing_from_antiSMASH	1257	429	419	gi|529222834|ref|NC_021985.1|-6406788/1	100	29	39	100	1.2	synthetic_stool_low_S32	plus_five_score
Streptomyces_olivaceus_strain_NRRL_B-3009__JOFH01000021.1_Streptomyces_olivaceus_strain_NRRL_B-3009_contig21.1,_whole_genome_shotgun_sequence__31377__lantipeptide__ANTISMASH__72093_103470-lanC-1	3090	2685	2700	gi|529222834|ref|NC_021985.1|-6406788/1	100	41	56	100	0.002	synthetic_stool_low_S32	plus_five_score
Streptomyces_olivaceus_strain_NRRL_B-3009__JOFH01000021.1_Streptomyces_olivaceus_strain_NRRL_B-3009_contig21.1,_whole_genome_shotgun_sequence__31377__lantipeptide__ANTISMASH__72093_103470-lanC-1	3090	2823	2835	gi|529222834|ref|NC_021985.1|-6406788/1	100	44	56	100	0.095	synthetic_stool_low_S32	plus_five_score
Streptomyces_olivaceus_strain_NRRL_B-3009__JOFH01000021.1_Streptomyces_olivaceus_strain_NRRL_B-3009_contig21.1,_whole_genome_shotgun_sequence__31377__lantipeptide__ANTISMASH__72093_103470-lanC-1	3090	698	687	gi|529222834|ref|NC_021985.1|-6406788/1	100	52	63	100	0.34	synthetic_stool_low_S32	plus_five_score
Streptomyces_olivaceus_strain_NRRL_B-3009__JOFH01000021.1_Streptomyces_olivaceus_strain_NRRL_B-3009_contig21.1,_whole_genome_shotgun_sequence__31377__lantipeptide__ANTISMASH__72093_103470-lanC-2	2922	2819	2803	gi|529222834|ref|NC_021985.1|-6406788/1	100	55	72	94.444	0.026	synthetic_stool_low_S32	plus_five_score
Streptomyces_olindensis_strain_DAUFPE_5622__gi|640933032|gb|JJOH01000019.1|_Streptomyces_olindensis_strain_DAUFPE_5622,_whole_genome_shotgun_sequence__32500__lantipeptide-bacteriocin__ANTISMASH__232375_264875-lanC	2595	2006	2017	gi|529222834|ref|NC_021985.1|-6406788/1	100	82	93	100	0.34	synthetic_stool_low_S32	plus_five_score
Streptomyces_olindensis_strain_DAUFPE_5622__gi|640933032|gb|JJOH01000019.1|_Streptomyces_olindensis_strain_DAUFPE_5622,_whole_genome_shotgun_sequence__32500__lantipeptide-bacteriocin__ANTISMASH__232375_264875-lanC	2595	589	599	gi|529222834|ref|NC_021985.1|-6406788/1	100	41	51	100	1.2	synthetic_stool_low_S32	plus_five_score
Streptomyces_olindensis_strain_DAUFPE_5622__gi|640933032|gb|JJOH01000019.1|_Streptomyces_olindensis_strain_DAUFPE_5622,_whole_genome_shotgun_sequence__32500__lantipeptide-bacteriocin__ANTISMASH__232375_264875-lanC	2595	2101	2091	gi|529222834|ref|NC_021985.1|-6406788/1	100	47	57	100	1.2	synthetic_stool_low_S32	plus_five_score
Salinispora_arenicola_CNB527__AZXI01000044.1_Salinispora_arenicola_CNB527_B033DRAFT_scaffold_38.39_C,_whole_genome_shotgun_sequence__20186__lantipeptide__ANTISMASH__21175_41361-lanC	2952	2318	2329	gi|529222834|ref|NC_021985.1|-6406788/1	100	52	63	100	0.34	synthetic_stool_low_S32	plus_five_score
Salinispora_arenicola_CNB527__AZXI01000044.1_Salinispora_arenicola_CNB527_B033DRAFT_scaffold_38.39_C,_whole_genome_shotgun_sequence__20186__lantipeptide__ANTISMASH__21175_41361-lanC	2952	220	210	gi|529222834|ref|NC_021985.1|-6406788/1	100	80	90	100	1.2	synthetic_stool_low_S32	plus_five_score
Salinispora_arenicola_CNB527__AZXI01000001.1_Salinispora_arenicola_CNB527_B033DRAFT_scaffold_0.1_C,_whole_genome_shotgun_sequence__71135__nrps-lantipeptide__ANTISMASH__198442_269577-lanC	3111	944	957	gi|529222834|ref|NC_021985.1|-6406788/1	100	37	51	93.333	1.2	synthetic_stool_low_S32	plus_five_score
Salinispora_arenicola_CNB527__AZXI01000001.1_Salinispora_arenicola_CNB527_B033DRAFT_scaffold_0.1_C,_whole_genome_shotgun_sequence__71135__nrps-lantipeptide__ANTISMASH__198442_269577-lanC	3111	1895	1905	gi|529222834|ref|NC_021985.1|-6406788/1	100	11	21	100	1.2	synthetic_stool_low_S32	plus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	616	517	CP001834.1-2270328/1	100	1	100	96	1.93e-43	synthetic_stool_low_S24	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	1027	928	CP001834.1-2270328/1	100	1	100	93	1.95e-38	synthetic_stool_low_S24	plus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	1056	1043	CP001834.1-2270328/1	100	56	69	92.857	1.2	synthetic_stool_low_S24	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	1101	1089	CP001834.1-2270328/1	100	26	38	100	0.095	synthetic_stool_low_S24	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-Lan_C_2	2514	1687	1666	CP001834.1-2270328/1	100	67	89	86.957	0.095	synthetic_stool_low_S24	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	1028	1038	CP001834.1-2270328/1	100	32	42	100	1.2	synthetic_stool_low_S24	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	1181	1171	CP001834.1-2270328/1	100	8	18	100	1.2	synthetic_stool_low_S24	plus_five_score
GCA_000283635.1_ASM28363v1__HE613569.1_Streptococcus_macedonicus_ACA-DC_198_main_chromosome_complete_genome__48444__lantipeptide__ANTISMASH__1336323_1384767-lanC	2787	1375	1365	CP001834.1-2270328/1	100	39	49	100	1.2	synthetic_stool_low_S24	plus_five_score
