sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	544	445	CP012944.1-327350/2	100	1	100	96	2.45e-43	synthetic_stool_low_S25	plus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	459	558	CP012944.1-17223856/2	100	1	100	98	1.13e-46	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	565	466	CP012944.1-13223684/2	100	1	100	98	1.13e-46	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	560	466	CP012944.1-10745268/2	100	6	100	98.947	1.46e-45	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	451	550	CP012944.1-10342384/2	100	1	100	98	1.13e-46	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	558	461	CP012944.1-9977666/1	100	1	98	97.959	1.46e-45	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	474	573	CP012944.1-9903140/1	100	1	100	98	1.13e-46	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	567	468	CP012944.1-6892252/2	100	1	100	99	2.43e-48	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	467	566	CP012944.1-2790832/2	100	1	100	95	1.14e-41	synthetic_stool_low_S68	minus_five_score
GCA_001587155.1_ASM158715v1__CP012944.1_Ralstonia_solanacearum_strain_IBSBF1503_plasmid,_complete_sequence__71209__siderophore__ANTISMASH__1492033_1563242-iucA-iucC-1	1770	574	475	CP012944.1-2144370/1	100	1	100	98	1.13e-46	synthetic_stool_low_S68	minus_five_score
Streptomyces_olindensis_strain_DAUFPE_5622__gi|640935821|gb|JJOH01000007.1|_Streptomyces_olindensis_strain_DAUFPE_5622,_whole_genome_shotgun_sequence__19620__siderophore__ANTISMASH__228611_248231-iucA-iucC-1	1542	528	429	gi|640935821|gb|JJOH01000007.1|-24172/1	100	1	100	99	2.43e-48	synthetic_stool_low_S65	minus_five_score
Thermoactinomyces_vulgaris_strain_NRRL_F-5595__gi|928416322|gb|LGKI01000367.1|_Thermoactinomyces_vulgaris_strain_NRRL_F-5595_F5595contig4.1,_whole_genome_shotgun_sequence__16737__siderophore__ANTISMASH__187903_204640-iucA-iucC-2	1788	596	498	gi|928416322|gb|LGKI01000367.1|-52544/2	100	2	100	94.949	4.1e-41	synthetic_stool_low_S6	minus_five_score
GCA_001267515.1_ASM126751v1__CP011998.1_Ralstonia_solanacearum_strain_YC45_plasmid,_complete_sequence__53760__siderophore__ANTISMASH__524469_578229-iucA-iucC-1	1890	1018	919	CP011998.1-123810/1	100	1	100	97	5.26e-45	synthetic_stool_low_S51	minus_five_score
Streptomyces_collinus_Tu_365__gi|529222834|ref|NC_021985.1|_Streptomyces_collinus_Tu_365,_complete_sequence__13158__siderophore__ANTISMASH__6758340_6771498-iucA-iucC-2	1509	420	519	gi|529222834|ref|NC_021985.1|-12408954/1	100	1	100	97	5.26e-45	synthetic_stool_low_S51	minus_five_score
Streptomyces_collinus_Tu_365__gi|529222834|ref|NC_021985.1|_Streptomyces_collinus_Tu_365,_complete_sequence__13158__siderophore__ANTISMASH__6758340_6771498-iucA-iucC-2	1509	477	378	gi|529222834|ref|NC_021985.1|-12241076/1	100	1	100	98	1.13e-46	synthetic_stool_low_S51	minus_five_score
