readID	Sample	sampleType	cyclaseType	HMMScore
AZXI01000013.1-1019352/2	synthetic_stool_low_S51	low	TcmJ	53
AZXI01000013.1-28278/1	synthetic_stool_low_S53	low	TcmJ	50.8
JOFH01000019.1-779964/2	synthetic_stool_low_S64	low	TcmJ	49.6
AZXI01000013.1-23702/1	synthetic_stool_low_S51	low	TcmJ	49.3
AZXI01000013.1-730586/2	synthetic_stool_low_S51	low	TcmJ	49.3
gi|529222834|ref|NC_021985.1|-3874300/2	synthetic_stool_low_S32	low	TcmJ	48.7
AZXI01000013.1-84584/2	synthetic_stool_low_S51	low	TcmJ	48.6
AZXI01000013.1-4438/1	synthetic_stool_low_S15	low	TcmJ	48.4
AZXI01000013.1-1026062/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1034534/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1092594/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1101802/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1128582/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1166190/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-116780/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1217168/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1224784/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1247734/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1261916/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1267526/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1272148/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1284186/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1285582/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1294048/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1302134/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1309756/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1340914/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-13522/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1374254/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1415170/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1420922/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-154894/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1552316/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1620492/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1628714/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1682710/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1703274/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1724800/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1741542/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-177372/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1787482/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-1832564/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-192978/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-200252/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-224412/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-227340/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-236388/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-254890/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-265212/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-303364/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-317854/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-320412/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-472120/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-505308/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-508812/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-509190/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-52852/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-542682/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-567890/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-587350/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-597442/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-633356/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-682988/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-699498/2	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-731672/1	synthetic_stool_low_S51	low	TcmJ	48.4
AZXI01000013.1-743502/1	synthetic_stool_low_S51	low	TcmJ	48.4
