cyclase_type	interval	cutoff
TcmI	0_30	35
TcmI	10_40	30
TcmI	20_50	30
TcmI	30_60	30
TcmI	40_70	25
TcmI	50_80	25
TcmI	70_100	30
TcmI	80_110	40
TcmI	90_120	35
OxyN	0_30	30
OxyN	50_80	30
OxyN	60_90	40
OxyN	80_110	45
OxyN	90_120	40
OxyN	130_160	30
OxyN	160_190	35
OxyN	170_200	40
OxyN	180_210	45
OxyN	190_220	40
OxyN	200_230	30
OxyN	210_240	35
OxyN	220_250	40
OxyN	240_270	45
TcmJ	0_30	30
TcmJ	10_40	30
TcmJ	20_50	25
TcmJ	30_60	30
TcmJ	40_70	30
TcmJ	90_120	30
TcmN	150_180	25
TcmN	160_190	25
TcmN	170_200	25
TcmN	180_210	30
TcmN	210_240	30
TcmN	220_250	30
TcmN	230_260	25
TcmN	240_270	25
TcmN	250_280	35
TcmN	260_290	25
