sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	265	166	gi|640937269|gb|JJOH01000002.1|-35186/1	100	1	100	99	4.46e-49	synthetic_stool_low_S56	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	191	290	gi|640937269|gb|JJOH01000002.1|-26314/1	100	1	100	100	9.58e-51	synthetic_stool_low_S56	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	238	337	gi|640937269|gb|JJOH01000002.1|-3852/1	100	1	100	99	4.46e-49	synthetic_stool_low_S56	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	360	459	gi|529222834|ref|NC_021985.1|-691596/1	100	1	100	100	9.58e-51	synthetic_stool_low_S54	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	353	452	gi|529222834|ref|NC_021985.1|-300152/2	100	1	100	99	4.46e-49	synthetic_stool_low_S54	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	197	296	gi|529222834|ref|NC_021985.1|-85116/1	100	1	100	98	2.07e-47	synthetic_stool_low_S54	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	168	267	gi|640937269|gb|JJOH01000002.1|-5068/2	100	1	100	100	9.58e-51	synthetic_stool_low_S53	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	167	266	gi|640937269|gb|JJOH01000002.1|-5042/1	100	1	100	100	9.58e-51	synthetic_stool_low_S53	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	14	113	gi|640937269|gb|JJOH01000002.1|-132/1	100	1	100	99	4.46e-49	synthetic_stool_low_S53	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	370	469	gi|529222834|ref|NC_021985.1|-75818/1	100	1	100	100	9.58e-51	synthetic_stool_low_S53	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	12	111	gi|640937269|gb|JJOH01000002.1|-38196/2	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	193	292	gi|640937269|gb|JJOH01000002.1|-35986/1	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	117	18	gi|640937269|gb|JJOH01000002.1|-29414/2	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	233	332	gi|640937269|gb|JJOH01000002.1|-23280/1	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	170	269	gi|640937269|gb|JJOH01000002.1|-22826/2	100	1	100	99	4.46e-49	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	26	125	gi|640937269|gb|JJOH01000002.1|-12398/2	100	1	100	99	4.46e-49	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	279	181	gi|640937269|gb|JJOH01000002.1|-6558/2	100	2	100	97.98	7.46e-47	synthetic_stool_low_S49	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	266	167	gi|529222834|ref|NC_021985.1|-79974/1	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	219	318	gi|529222834|ref|NC_021985.1|-9772/1	100	1	100	100	9.58e-51	synthetic_stool_low_S49	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	269	170	gi|640937269|gb|JJOH01000002.1|-30652/2	100	1	100	99	4.46e-49	synthetic_stool_low_S43	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	282	183	gi|640937269|gb|JJOH01000002.1|-29486/1	100	1	100	100	9.58e-51	synthetic_stool_low_S43	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	288	189	gi|640937269|gb|JJOH01000002.1|-10684/2	100	1	100	100	9.58e-51	synthetic_stool_low_S43	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	329	230	gi|529222834|ref|NC_021985.1|-68748/2	100	1	100	99	4.46e-49	synthetic_stool_low_S38	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	274	175	gi|529222834|ref|NC_021985.1|-32764/1	100	1	100	99	4.46e-49	synthetic_stool_low_S38	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	214	313	gi|529222834|ref|NC_021985.1|-743724/1	100	1	100	99	4.46e-49	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	293	194	gi|529222834|ref|NC_021985.1|-470882/1	100	1	100	100	9.58e-51	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	167	266	gi|529222834|ref|NC_021985.1|-406672/2	100	1	100	98	2.07e-47	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	278	179	gi|529222834|ref|NC_021985.1|-319082/1	100	1	100	100	9.58e-51	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	216	315	gi|529222834|ref|NC_021985.1|-118508/2	100	1	100	100	9.58e-51	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	366	465	gi|529222834|ref|NC_021985.1|-111422/2	100	1	100	100	9.58e-51	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	266	167	gi|529222834|ref|NC_021985.1|-74258/1	100	1	100	100	9.58e-51	synthetic_stool_low_S36	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	363	462	gi|529222834|ref|NC_021985.1|-74236/1	100	1	100	99	4.46e-49	synthetic_stool_low_S29	plus_five_score
NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	948	184	283	gi|529222834|ref|NC_021985.1|-5028/1	100	1	100	99	4.46e-49	synthetic_stool_low_S29	plus_five_score
JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	1359	181	280	gi|640937269|gb|JJOH01000002.1|-39322/2	100	1	100	97	9.65e-46	synthetic_stool_low_S29	plus_five_score
