sseqid	slen	sstart	send	qseqid	qlen	qstart	qend	pident	evalue	Sample	cutoff
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	471	389	CP001834.1-3767442/1	100	1	83	95.181	5.46e-34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	60	1	CP001834.1-3767442/1	100	1	60	100	7.11e-28	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	264	278	CP001834.1-3767442/1	100	75	89	93.333	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-3767442/1	100	14	25	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	480	389	CP001834.1-3477336/2	100	1	92	94.565	2.52e-37	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	69	1	CP001834.1-3477336/2	100	1	69	98.551	3.28e-31	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	468	389	CP001834.1-3095078/2	100	1	80	96.25	5.46e-34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	57	1	CP001834.1-3095078/2	100	1	57	100	3.31e-26	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-3095078/2	100	11	22	100	0.34	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	1	94	CP001834.1-2556108/2	100	7	100	94.681	1.95e-38	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	406	505	CP001834.1-2556108/2	100	1	100	91	4.22e-35	synthetic_stool_low_S8	minus_five_score
GCA_000192705.1_ASM19270v1__CP002365.1_Lactococcus_lactis_subsp._lactis_CV56,_complete_genome__26032__lantipeptide__ANTISMASH__594967_620999-lanC	1245	484	389	CP001834.1-2491888/2	100	1	96	94.792	1.51e-39	synthetic_stool_low_S8	minus_five_score
GCA_000025045.1_ASM2504v1__CP001834.1_Lactococcus_lactis_subsp._lactis_KF147,_complete_genome__21937__lantipeptide__ANTISMASH__1342969_1364906-lanC	834	73	1	CP001834.1-2491888/2	100	1	73	97.26	9.13e-32	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	1293	1282	CP001834.1-2491888/2	100	27	38	100	0.34	synthetic_stool_low_S8	minus_five_score
Bacillus_endophyticus_DSM_13796__gi|1098135721|emb|FOXX01000007.1|_Bacillus_endophyticus_DSM_13796_genome_assembly,_contig:_Ga0002164_scaffold00007.7,_whole_genome_shotgun_sequence__15762__lantipeptide__ANTISMASH__272216_287978-lanC	3153	2487	2497	CP001834.1-2491888/2	100	3	13	100	1.2	synthetic_stool_low_S8	minus_five_score
GCA_000742975.1_ASM74297v1__CP008815.1_Enterococcus_faecalis_ATCC_29212_plasmid_1,_complete_sequence__17931__lantipeptide__ANTISMASH__48617_66548-lanC	2982	1897	1886	CP001834.1-2491888/2	100	1	12	100	0.34	synthetic_stool_low_S8	minus_five_score
