readID	Sample	stitle	readCheck	lanc_genome
FR687360.1-2626/1	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
FR687360.1-2200/2	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Paraburkholderia rhizoxinica]	TP	other
AP009049.1-19268/1	synthetic_stool_high_S45	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
AP009049.1-18578/2	synthetic_stool_high_S45	Lanthionine synthetase C family protein,Nisin biosynthesis protein nisC,Lantibiotic modifying enzyme,type 2 lantibiotic biosynthesis protein LanM,Lanthionine synthetase C-like protein (plasmid) [[Clostridium] sordellii]	TP	other
FR824043.1-107184/2	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-83496/2	synthetic_stool_high_S45	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-73654/1	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-73654/2	synthetic_stool_high_S45	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-67724/1	synthetic_stool_high_S45	putative Lantibiotic modifying enzyme Lacticin 481/lactococcin biosynthesis protein lcnDR2 [Lactococcus piscium]	TP	other
FR824043.1-51878/2	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
FR824043.1-39808/1	synthetic_stool_high_S45	type 2 lantipeptide synthetase LanM [Streptococcus mutans]	TP	other
CP002660.1-1154144/2	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-1133482/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-932602/2	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-827748/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-752002/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-514980/2	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-450626/2	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-154172/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP002660.1-36228/1	synthetic_stool_high_S45	lanthionine synthetase C-like protein [Clostridium felsineum DSM 794]	TP	other
CP010413.1-41700/2	synthetic_stool_high_S45	MULTISPECIES: lanthionine synthetase [Bifidobacterium]	TP	other
CP010413.1-24854/1	synthetic_stool_high_S45	lanthionine synthetase [Bifidobacterium breve]	TP	other
CP010413.1-19120/2	synthetic_stool_high_S45	MULTISPECIES: lanthionine synthetase [Bifidobacterium]	TP	other
