target_name	query_name 	full_seq_e_value	full_seq_hmm_score	full_seq_bias	best_1_domain_e_value	best_1_domain_hmm_score	best_1_domain_bias	cyclase_type	phyla	nucl_cyclase_target_name	used_in_synthetic_metagenome	notes
Bacillus cereus__CN909_29735__polyketide cyclase	t2cyclaseSRPBCC	1.50E-34	113.4	0.1	1.70E-34	113.2	0.1	TcmN	Firmicutes	NUFX01000053__Bacillus_cereus_strain_AFS057148__Cyclase1	N	
Bacillus cereus__CN909_29765__cyclase	t2cyclase	2.10E-69	228.2	0	2.50E-69	227.9	0	OxyN	Firmicutes	NUFX01000053__Bacillus_cereus_strain_AFS057148__Cyclase2	N	
Bacillus cereus__CN909_29775__cupin domain-containing protein	t2cyclaseABD	1.10E-36	119.9	0	1.30E-36	119.6	0	TcmJ	Firmicutes	NUFX01000053__Bacillus_cereus_strain_AFS057148__CN909_29775	N	
Bacillus endophyticus DSM 13796__SAMN02745910_04224__aromatase	t2cyclaseSRPBCC	1.80E-31	103.4	0	2.10E-31	103.3	0	TcmN	Firmicutes	FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase1	Y	
Bacillus endophyticus DSM 13796__SAMN02745910_04230__Kynurenine formamidase	t2cyclase	1.40E-72	238.5	0	1.70E-72	238.3	0	OxyN	Firmicutes	FOXX01000014__Bacillus_endophyticus_DSM_13796__Cyclase2	Y	
Bacillus endophyticus DSM 13796__SAMN02745910_04234__Cupin domain protein	t2cyclaseABD	1.80E-40	132.2	0.1	1.90E-40	132.1	0.1	TcmJ	Firmicutes	FOXX01000014__Bacillus_endophyticus_DSM_13796__SAMN02745910_04234	Y	
Bacillus megaterium__C2I28_26510__cupin domain-containing protein	t2cyclaseABD	2.40E-26	86.4	0	2.70E-26	86.2	0	TcmJ	Firmicutes	CP026738__Bacillus_megaterium_strain_YC4-R4__C2I28_26510	N	
Bacillus megaterium__C2I28_26520__cyclase	t2cyclase	7.40E-78	255.9	0	8.80E-78	255.6	0	OxyN	Firmicutes	CP026738__Bacillus_megaterium_strain_YC4-R4__Cyclase1	N	
Bacillus megaterium__C2I28_26525__polyketide cyclase	t2cyclaseSRPBCC	4.20E-31	102.3	1.3	4.70E-31	102.1	1.3	TcmN	Firmicutes	CP026738__Bacillus_megaterium_strain_YC4-R4__Cyclase2	N	
Bacillus pseudomycoides__CON64_11230__hypothetical protein	t2cyclaseABD	2.80E-22	73.2	0.1	3.10E-22	73.1	0.1	TcmJ	Firmicutes	NVOY01000016__Bacillus_pseudomycoides_strain_AFS090198__CON64_11230	N	
Bacillus pseudomycoides__CON64_11240__cyclase	t2cyclase	1.30E-82	271.5	0	1.50E-82	271.3	0	OxyN	Firmicutes	NVOY01000016__Bacillus_pseudomycoides_strain_AFS090198__Cyclase1	N	
Bacillus pseudomycoides__CON64_11245__polyketide cyclase	t2cyclaseSRPBCC	7.60E-31	101.4	1	8.50E-31	101.3	1	TcmN	Firmicutes	NVOY01000016__Bacillus_pseudomycoides_strain_AFS090198__Cyclase2	N	
Clostridium beijerinckii__CLBCK_RS01165__hypothetical protein	t2cyclaseSRPBCC	1.80E-26	87.3	0	2.10E-26	87.1	0	TcmN	Firmicutes	NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase/dehydrase	Y	
Clostridium beijerinckii__CLBCK_RS01170__cyclase family protein	t2cyclase	1.30E-74	245.3	0	1.50E-74	245	0	OxyN	Firmicutes	NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	Y	
Clostridium puniceum__CLPUN_17410__kynurenine formamidase	t2cyclase	6.40E-76	249.5	0	7.40E-76	249.3	0	OxyN	Firmicutes	LZZM01000113__Clostridium_puniceum_strain_DSM_2619__Cyclase1	N	
Clostridium puniceum__CLPUN_17420__multifunctional cyclase-dehydratase-3-O-methyl transferase TcmN	t2cyclaseSRPBCC	8.80E-27	88.3	0.1	1.00E-26	88.1	0.1	TcmN	Firmicutes	LZZM01000113__Clostridium_puniceum_strain_DSM_2619__Cyclase2	N	
Orenia metallireducens__SAMN06265827_13019__putative monooxygenase	t2cyclaseABD	1.40E-22	74.2	0.1	1.70E-22	73.9	0.1	TcmJ	Firmicutes	OBDZ01000030__Orenia_metallireducens_strain_MSL47__SAMN06265827_13019	Y	
Orenia metallireducens__SAMN06265827_13021__Kynurenine formamidase	t2cyclase	3.90E-75	246.9	0	4.40E-75	246.7	0	OxyN	Firmicutes	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase	Y	
Orenia metallireducens__SAMN06265827_13022__aromatase	t2cyclaseSRPBCC	1.20E-34	113.7	0	1.40E-34	113.5	0	TcmN	Firmicutes	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase/dehydrase	Y	
Paenibacillus borealis__PBOR_RS06305__hypothetical protein	t2cyclaseSRPBCC	2.50E-35	116	1.2	2.90E-35	115.8	1.2	TcmN	Firmicutes	NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase/dehydrase	Y	
Paenibacillus borealis__PBOR_RS06335__cupin domain-containing protein	t2cyclaseABD	2.10E-23	76.8	0.9	2.30E-23	76.7	0.9	TcmJ	Firmicutes	NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__PBOR_RS06335	Y	
Paenibacillus borealis__PBOR_RS06345__cyclase family protein	t2cyclase	1.10E-80	265.1	0	1.40E-80	264.8	0	OxyN	Firmicutes	NZ_CP009285__Paenibacillus_borealis_strain_DSM_13188__Cyclase	Y	
Paenibacillus sp. IHB B 3415__QW71_RS18875__hypothetical protein	t2cyclaseSRPBCC	4.40E-35	115.2	1.5	5.00E-35	115	1.5	TcmN	Firmicutes	NZ_JUEI01000042__Paenibacillus_sp._IHB_B_3415__Cyclase/dehydrase	N	
Paenibacillus sp. IHB B 3415__QW71_RS18905__cupin domain-containing protein	t2cyclaseABD	6.70E-25	81.7	0.8	7.20E-25	81.6	0.8	TcmJ	Firmicutes	NZ_JUEI01000042__Paenibacillus_sp._IHB_B_3415__QW71_RS18905	N	
Paenibacillus sp. IHB B 3415__QW71_RS18915__cyclase family protein	t2cyclase	8.60E-80	262.2	0	1.00E-79	261.9	0	OxyN	Firmicutes	NZ_JUEI01000042__Paenibacillus_sp._IHB_B_3415__Cyclase	N	
Photorhabdus luminescens__BLP72_RS13775__cyclase family protein	t2cyclase	7.90E-83	272.2	0	9.30E-83	272	0	OxyN	Actinobacteria	NZ_FMWJ01000001__Photorhabdus_luminescens__Cyclase	Y	
Photorhabdus luminescens__BLP72_RS13800__hypothetical protein	t2cyclaseSRPBCC	6.30E-64	208.7	0	3.10E-23	76.9	0	TcmN	Actinobacteria	NZ_FMWJ01000001__Photorhabdus_luminescens__BLP72_RS13800	Y	
Salinispora arenicola CNB527__ctg1_24__Polyketide_synthesis_cyclase	t2cyclase_polyket	1.50E-40	1.32E+02	0	1.80E-40	132	0	TcmI	Actinobacteria	AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_24	Y	
Salinispora arenicola CNB527__ctg1_25__NA	t2cyclaseABD	3.40E-38	124.9	2.1	3.70E-38	124.8	2.1	TcmJ	Actinobacteria	AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__ctg1_25	Y	
Salinispora arenicola CNB527__ctg1_26__NA	t2cyclaseSRPBCC	7.80E-55	175.8	1.7	9.00E-55	175.6	1.7	TcmN	Actinobacteria	AZXI01000002.1__Salinispora_arenicola_CNB527_Arenimycin_B__Cyclase	Y	not included in genbank
Streptomyces bottropensis ATCC 25435__SBD_RS22475__cyclase	t2cyclaseSRPBCC	1.20E-85	279.2	4.5	7.10E-47	153.5	0.3	TcmN	Actinobacteria	NZ_KB405089.1__S._bottropensis_ATCC_25435__Cyclase	N	
Streptomyces collinus Tu 365__B446_RS13265__cyclase family protein 	t2cyclase	8.30E-126	4.13E+02	1.2	9.20E-126	412.9	1.2	OxyN	Actinobacteria	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1	Y	
Streptomyces collinus Tu 365__B446_RS13300__actinorhodin polyketide synthase bifunctional cyclase/dehydratase 	t2cyclaseSRPBCC	5.10E-90	293.3	2.1	3.80E-47	154.4	0.1	TcmN	Actinobacteria	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase/dehydrase	Y	
Streptomyces collinus Tu 365__B446_RS36080__cyclase	t2cyclaseSRPBCC	4.10E-25	82.9	0.3	5.40E-23	76.1	0.1	TcmN	Actinobacteria	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase2	Y	
Streptomyces olindensis__DF19_23455__actinorhodin polyketide synthase 	t2cyclaseSRPBCC	3.70E-87	284	12.3	2.80E-44	145	1.7	TcmN	Actinobacteria	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__DF19_23455	Y	
Streptomyces olindensis__DF19_23470__cyclase	t2cyclase	3.20E-121	398.1	0.7	3.50E-121	397.9	0.7	OxyN	Actinobacteria	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase	Y	
Streptomyces olivaceus__IG94_RS0121830__cupin domain-containing protein 	t2cyclaseABD	8.10E-41	133.4	1	1.00E-40	133.1	1	TcmJ	Actinobacteria	NZ_JOFH01000019__S.olivaceus__IG94_RS0121830	Y	
Streptomyces olivaceus__IG94_RS0121850__polyketide cyclase	t2cyclaseSRPBCC	7.60E-61	198.7	4.7	8.70E-61	198.6	4.7	TcmN	Actinobacteria	NZ_JOFH01000019__S.olivaceus__Cyclase	Y	
Streptomyces olivaceus__IG94_RS0121855__TcmI family type II polyketide cyclase 	t2cyclase_polyket	2.60E-49	1.61E+02	0	3.00E-49	160.3	0	TcmI	Actinobacteria	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI	Y	
Thermoactinomyces vulgaris__ADL26_14000__hypothetical protein	t2cyclaseABD	2.30E-27	89.7	0.5	2.70E-27	89.5	0.5	TcmJ	Firmicutes	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__ADL26_14000	Y	
Thermoactinomyces vulgaris__ADL26_14010__cyclase	t2cyclase	1.50E-83	274.5	0	2.00E-83	274.1	0	OxyN	Firmicutes	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase	Y	
