gene_name	start	end	interval	cyclase_type
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	12	99	0_30	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	42	129	10_40	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	72	141	20_50	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	102	150	30_60	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	132	180	40_70	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	144	210	50_80	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	153	240	60_90	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	183	264	70_100	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	213	294	80_110	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	243	324	90_120	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	267	354	100_130	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	297	384	110_140	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	327	414	120_150	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	357	444	130_160	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	387	474	140_170	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	417	504	150_180	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	447	534	160_190	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	477	564	170_200	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	507	594	180_210	OxyN
NZ_LZZI01000003__Clostridium_beijerinckii_strain_DSM_53__Cyclase	537	624	190_220	OxyN
