readID	Sample	sampleType	cyclaseType	HMMScore
CP001834.1-416376/1	synthetic_stool_high_S43	high	lantibiotic	40.1
CP001834.1-919638/1	synthetic_stool_high_S36	high	lantibiotic	40
CP001834.1-217906/1	synthetic_stool_high_S37	high	lantibiotic	40
CP001834.1-81150/2	synthetic_stool_low_S32	low	lantibiotic	40
CP001834.1-5986752/2	synthetic_stool_low_S69	low	lantibiotic	39.9
CP001834.1-2778428/2	synthetic_stool_low_S0	low	lantibiotic	39.8
CP001834.1-32505556/2	synthetic_stool_low_S14	low	lantibiotic	39.7
CP001834.1-3939210/1	synthetic_stool_low_S29	low	lantibiotic	39.7
CP001834.1-288866/2	synthetic_stool_high_S37	high	lantibiotic	39.6
CP001834.1-7174/1	synthetic_stool_high_S44	high	lantibiotic	39.6
CP001834.1-31430436/2	synthetic_stool_low_S14	low	lantibiotic	39.6
CP001834.1-10415240/1	synthetic_stool_low_S2	low	lantibiotic	39.6
CP001834.1-2849990/1	synthetic_stool_low_S2	low	lantibiotic	39.6
CP001834.1-382874/1	synthetic_stool_low_S2	low	lantibiotic	39.6
CP002365.1-197420/2	synthetic_stool_high_S18	high	lantibiotic	39.5
CP001834.1-812740/1	synthetic_stool_low_S14	low	lantibiotic	39.5
CP001834.1-371148/2	synthetic_stool_low_S24	low	lantibiotic	39.5
CP001834.1-723574/2	synthetic_stool_low_S69	low	lantibiotic	39.5
CP001834.1-1059044/2	synthetic_stool_high_S58	high	lantibiotic	39.3
CP001834.1-10520840/2	synthetic_stool_low_S14	low	lantibiotic	39.3
CP001834.1-25947122/2	synthetic_stool_low_S14	low	lantibiotic	39.3
CP001834.1-183520/2	synthetic_stool_low_S25	low	lantibiotic	39.3
CP001834.1-3999570/2	synthetic_stool_low_S8	low	lantibiotic	39.3
CP001834.1-1002112/1	synthetic_stool_high_S21	high	lantibiotic	39.2
CP001834.1-1871400/1	synthetic_stool_high_S39	high	lantibiotic	39.2
CP001834.1-1881370/2	synthetic_stool_high_S39	high	lantibiotic	39.2
CP001834.1-9629294/1	synthetic_stool_low_S14	low	lantibiotic	39.2
CP001834.1-4545450/1	synthetic_stool_low_S13	low	lantibiotic	39.1
CP001834.1-7208166/2	synthetic_stool_low_S2	low	lantibiotic	39.1
CP001834.1-334136/2	synthetic_stool_low_S60	low	lantibiotic	39.1
CP001834.1-20236348/2	synthetic_stool_low_S14	low	lantibiotic	39
CP001834.1-3356758/1	synthetic_stool_low_S14	low	lantibiotic	39
CP001834.1-5046204/2	synthetic_stool_low_S14	low	lantibiotic	39
CP001834.1-3803694/1	synthetic_stool_low_S8	low	lantibiotic	39
CP001834.1-350204/2	synthetic_stool_high_S24	high	lantibiotic	38.9
CP001834.1-3420356/2	synthetic_stool_low_S65	low	lantibiotic	38.9
CP001834.1-2968994/1	synthetic_stool_high_S14	high	lantibiotic	38.8
CP001834.1-1954264/1	synthetic_stool_high_S4	high	lantibiotic	38.8
CP001834.1-4555160/2	synthetic_stool_high_S50	high	lantibiotic	38.8
CP001834.1-165036/2	synthetic_stool_high_S58	high	lantibiotic	38.8
CP001834.1-3411510/2	synthetic_stool_low_S0	low	lantibiotic	38.8
CP001834.1-73854/2	synthetic_stool_low_S1	low	lantibiotic	38.8
CP001834.1-14111998/2	synthetic_stool_low_S14	low	lantibiotic	38.8
CP001834.1-11064288/1	synthetic_stool_low_S36	low	lantibiotic	38.8
CP001834.1-2575964/1	synthetic_stool_low_S65	low	lantibiotic	38.8
CP001834.1-394302/1	synthetic_stool_high_S10	high	lantibiotic	38.7
CP001834.1-1712476/2	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-2428312/1	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-2668274/2	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-269940/2	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-2973702/1	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-3201800/1	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-3327228/2	synthetic_stool_high_S14	high	lantibiotic	38.7
CP001834.1-64010/1	synthetic_stool_high_S16	high	lantibiotic	38.7
CP001834.1-1257234/1	synthetic_stool_high_S21	high	lantibiotic	38.7
CP001834.1-4161036/1	synthetic_stool_high_S21	high	lantibiotic	38.7
CP001834.1-4464704/1	synthetic_stool_high_S21	high	lantibiotic	38.7
CP001834.1-4994140/2	synthetic_stool_high_S21	high	lantibiotic	38.7
CP001834.1-1083146/1	synthetic_stool_high_S24	high	lantibiotic	38.7
CP001834.1-819644/2	synthetic_stool_high_S24	high	lantibiotic	38.7
CP001834.1-968106/1	synthetic_stool_high_S24	high	lantibiotic	38.7
CP001834.1-668798/2	synthetic_stool_high_S25	high	lantibiotic	38.7
CP001834.1-824840/2	synthetic_stool_high_S25	high	lantibiotic	38.7
CP001834.1-1395688/1	synthetic_stool_high_S30	high	lantibiotic	38.7
CP001834.1-117294/1	synthetic_stool_high_S35	high	lantibiotic	38.7
CP001834.1-75898/2	synthetic_stool_high_S36	high	lantibiotic	38.7
CP001834.1-83280/2	synthetic_stool_high_S39	high	lantibiotic	38.7
CP001834.1-146432/1	synthetic_stool_high_S4	high	lantibiotic	38.7
CP001834.1-356092/2	synthetic_stool_high_S4	high	lantibiotic	38.7
CP001834.1-643568/2	synthetic_stool_high_S4	high	lantibiotic	38.7
CP001834.1-829358/2	synthetic_stool_high_S4	high	lantibiotic	38.7
CP001834.1-839090/2	synthetic_stool_high_S4	high	lantibiotic	38.7
CP001834.1-405144/1	synthetic_stool_high_S43	high	lantibiotic	38.7
CP001834.1-1119254/1	synthetic_stool_high_S44	high	lantibiotic	38.7
CP001834.1-358860/1	synthetic_stool_high_S44	high	lantibiotic	38.7
CP001834.1-1894620/2	synthetic_stool_high_S50	high	lantibiotic	38.7
CP001834.1-2030092/1	synthetic_stool_high_S50	high	lantibiotic	38.7
CP001834.1-2973854/2	synthetic_stool_high_S50	high	lantibiotic	38.7
CP001834.1-4274548/1	synthetic_stool_high_S50	high	lantibiotic	38.7
CP001834.1-4992878/1	synthetic_stool_high_S50	high	lantibiotic	38.7
CP001834.1-174280/2	synthetic_stool_high_S56	high	lantibiotic	38.7
CP001834.1-584248/2	synthetic_stool_high_S58	high	lantibiotic	38.7
CP001834.1-174748/1	synthetic_stool_high_S59	high	lantibiotic	38.7
CP001834.1-282244/2	synthetic_stool_high_S6	high	lantibiotic	38.7
CP001834.1-335982/1	synthetic_stool_high_S6	high	lantibiotic	38.7
CP001834.1-353330/1	synthetic_stool_high_S6	high	lantibiotic	38.7
CP001834.1-122590/1	synthetic_stool_high_S65	high	lantibiotic	38.7
CP001834.1-140184/2	synthetic_stool_high_S68	high	lantibiotic	38.7
CP001834.1-784374/2	synthetic_stool_high_S68	high	lantibiotic	38.7
CP001834.1-102922/1	synthetic_stool_high_S7	high	lantibiotic	38.7
