readID	Sample	sampleType	cyclaseType	HMMScore
JOFH01000019.1-3712/1	synthetic_stool_high_S19	high	TcmI	70.7
JOFH01000019.1-16726/1	synthetic_stool_high_S26	high	TcmI	70.7
JOFH01000019.1-15734/1	synthetic_stool_high_S27	high	TcmI	70.7
JOFH01000019.1-17184/1	synthetic_stool_high_S6	high	TcmI	70.7
JOFH01000019.1-24702/1	synthetic_stool_high_S69	high	TcmI	70.7
JOFH01000019.1-9534/1	synthetic_stool_high_S69	high	TcmI	70.7
JOFH01000019.1-14972/1	synthetic_stool_high_S6	high	TcmI	70.6
JOFH01000019.1-9454/1	synthetic_stool_high_S69	high	TcmI	70.6
JOFH01000019.1-10586/1	synthetic_stool_low_S30	low	TcmI	70.6
JOFH01000019.1-5864/2	synthetic_stool_low_S36	low	TcmI	70.6
JOFH01000019.1-12412/2	synthetic_stool_low_S60	low	TcmI	70.5
JOFH01000019.1-13544/2	synthetic_stool_low_S36	low	TcmI	69.2
JOFH01000019.1-12918/1	synthetic_stool_high_S64	high	TcmI	69.1
JOFH01000019.1-11322/1	synthetic_stool_high_S19	high	TcmI	68.1
JOFH01000019.1-230/2	synthetic_stool_high_S29	high	TcmI	68.1
JOFH01000019.1-16652/1	synthetic_stool_high_S37	high	TcmI	68.1
JOFH01000019.1-16514/2	synthetic_stool_low_S0	low	TcmI	67.8
JOFH01000019.1-2652/2	synthetic_stool_low_S4	low	TcmI	67
JOFH01000019.1-11066/2	synthetic_stool_high_S6	high	TcmI	66.4
gi|640930959|gb|JJOH01000095.1|-8218/1	synthetic_stool_high_S49	high	TcmI	66.2
gi|640930959|gb|JJOH01000095.1|-3662/2	synthetic_stool_low_S56	low	TcmI	66.2
gi|640930959|gb|JJOH01000095.1|-958/1	synthetic_stool_low_S69	low	TcmI	66.2
gi|640932211|gb|JJOH01000028.1|-442/2	synthetic_stool_low_S49	low	TcmI	66.1
gi|640930959|gb|JJOH01000095.1|-286/2	synthetic_stool_high_S31	high	TcmI	66
gi|640932211|gb|JJOH01000028.1|-5018/1	synthetic_stool_high_S56	high	TcmI	66
gi|640932211|gb|JJOH01000028.1|-3792/1	synthetic_stool_low_S43	low	TcmI	66
gi|640932211|gb|JJOH01000028.1|-172/1	synthetic_stool_low_S53	low	TcmI	66
gi|640932211|gb|JJOH01000028.1|-5810/2	synthetic_stool_high_S49	high	TcmI	65.5
JOFH01000019.1-2392/2	synthetic_stool_high_S56	high	TcmI	65.5
JOFH01000019.1-10056/2	synthetic_stool_high_S27	high	TcmI	65
gi|529222834|ref|NC_021985.1|-75244/1	synthetic_stool_high_S8	high	TcmI	65
JOFH01000019.1-564/1	synthetic_stool_high_S56	high	TcmI	64.7
gi|640930959|gb|JJOH01000095.1|-8514/1	synthetic_stool_low_S49	low	TcmI	64.5
gi|529222834|ref|NC_021985.1|-248980/1	synthetic_stool_high_S15	high	TcmI	64.1
gi|529222834|ref|NC_021985.1|-222696/1	synthetic_stool_high_S18	high	TcmI	64.1
gi|529222834|ref|NC_021985.1|-702062/1	synthetic_stool_high_S45	high	TcmI	64.1
gi|529222834|ref|NC_021985.1|-253478/2	synthetic_stool_low_S36	low	TcmI	64.1
gi|529222834|ref|NC_021985.1|-674776/1	synthetic_stool_low_S36	low	TcmI	64.1
JOFH01000019.1-12988/2	synthetic_stool_low_S59	low	TcmI	64
gi|529222834|ref|NC_021985.1|-119822/1	synthetic_stool_high_S18	high	TcmI	64
JOFH01000019.1-11300/1	synthetic_stool_high_S2	high	TcmI	64
JOFH01000019.1-12358/1	synthetic_stool_high_S35	high	TcmI	64
gi|529222834|ref|NC_021985.1|-533104/1	synthetic_stool_high_S59	high	TcmI	64
JOFH01000019.1-24168/2	synthetic_stool_high_S69	high	TcmI	64
JOFH01000019.1-306/1	synthetic_stool_high_S2	high	TcmI	63.9
gi|640930959|gb|JJOH01000095.1|-9200/2	synthetic_stool_low_S49	low	TcmI	63.9
gi|640932211|gb|JJOH01000028.1|-2794/1	synthetic_stool_low_S53	low	TcmI	63.9
gi|529222834|ref|NC_021985.1|-58988/1	synthetic_stool_low_S20	low	TcmI	63.8
gi|640930959|gb|JJOH01000095.1|-16242/2	synthetic_stool_high_S31	high	TcmI	63.6
JOFH01000019.1-2450/2	synthetic_stool_high_S18	high	TcmI	63.5
gi|529222834|ref|NC_021985.1|-62554/1	synthetic_stool_high_S13	high	TcmI	63.3
gi|640932211|gb|JJOH01000028.1|-6886/1	synthetic_stool_low_S53	low	TcmI	63.3
gi|640930959|gb|JJOH01000095.1|-16034/1	synthetic_stool_low_S43	low	TcmI	63.2
gi|640930959|gb|JJOH01000095.1|-10956/1	synthetic_stool_high_S49	high	TcmI	63.1
gi|640930959|gb|JJOH01000095.1|-16468/2	synthetic_stool_high_S64	high	TcmI	63.1
JOFH01000019.1-7128/2	synthetic_stool_high_S26	high	TcmI	63
gi|640932211|gb|JJOH01000028.1|-3046/1	synthetic_stool_high_S64	high	TcmI	63
JOFH01000019.1-15944/2	synthetic_stool_high_S64	high	TcmI	63
gi|640930959|gb|JJOH01000095.1|-10388/2	synthetic_stool_low_S29	low	TcmI	63
gi|640932211|gb|JJOH01000028.1|-5634/1	synthetic_stool_low_S29	low	TcmI	63
gi|640932211|gb|JJOH01000028.1|-6150/2	synthetic_stool_high_S31	high	TcmI	63
gi|640932211|gb|JJOH01000028.1|-4650/1	synthetic_stool_high_S56	high	TcmI	63
gi|640932211|gb|JJOH01000028.1|-368/2	synthetic_stool_high_S64	high	TcmI	63
gi|640930959|gb|JJOH01000095.1|-1324/2	synthetic_stool_low_S29	low	TcmI	63
gi|640930959|gb|JJOH01000095.1|-20822/2	synthetic_stool_low_S29	low	TcmI	63
gi|640930959|gb|JJOH01000095.1|-2596/2	synthetic_stool_low_S43	low	TcmI	63
gi|640932211|gb|JJOH01000028.1|-4656/2	synthetic_stool_low_S53	low	TcmI	63
gi|640930959|gb|JJOH01000095.1|-2404/1	synthetic_stool_low_S67	low	TcmI	63
JOFH01000019.1-9226/2	synthetic_stool_low_S0	low	TcmI	62.9
JOFH01000019.1-738/1	synthetic_stool_low_S36	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-2088/2	synthetic_stool_low_S53	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-14580/2	synthetic_stool_low_S56	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-4766/2	synthetic_stool_high_S31	high	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-2226/2	synthetic_stool_high_S49	high	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-9114/2	synthetic_stool_high_S49	high	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-15848/1	synthetic_stool_high_S64	high	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-4920/1	synthetic_stool_high_S64	high	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-5838/2	synthetic_stool_high_S64	high	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-10474/1	synthetic_stool_low_S29	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-19090/2	synthetic_stool_low_S29	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-20972/1	synthetic_stool_low_S29	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-2892/2	synthetic_stool_low_S29	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-7180/2	synthetic_stool_low_S29	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-16272/2	synthetic_stool_low_S43	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-12568/2	synthetic_stool_low_S49	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-1298/1	synthetic_stool_low_S49	low	TcmI	62.9
gi|640932211|gb|JJOH01000028.1|-4526/2	synthetic_stool_low_S49	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-14348/1	synthetic_stool_low_S53	low	TcmI	62.9
gi|640930959|gb|JJOH01000095.1|-2066/2	synthetic_stool_low_S53	low	TcmI	62.9
JOFH01000019.1-13692/2	synthetic_stool_high_S2	high	TcmI	62.8
JOFH01000019.1-186/2	synthetic_stool_high_S2	high	TcmI	62.8
JOFH01000019.1-21888/2	synthetic_stool_high_S2	high	TcmI	62.8
JOFH01000019.1-1882/2	synthetic_stool_high_S29	high	TcmI	62.8
JOFH01000019.1-1662/1	synthetic_stool_high_S37	high	TcmI	62.8
JOFH01000019.1-13814/2	synthetic_stool_high_S64	high	TcmI	62.8
JOFH01000019.1-150/1	synthetic_stool_high_S68	high	TcmI	62.8
JOFH01000019.1-19104/1	synthetic_stool_high_S69	high	TcmI	62.8
JOFH01000019.1-15194/1	synthetic_stool_low_S36	low	TcmI	62.8
JOFH01000019.1-4048/1	synthetic_stool_low_S59	low	TcmI	62.8
JOFH01000019.1-20904/1	synthetic_stool_low_S68	low	TcmI	62.8
gi|640932211|gb|JJOH01000028.1|-438/1	synthetic_stool_high_S56	high	TcmI	62.8
gi|640930959|gb|JJOH01000095.1|-10312/1	synthetic_stool_low_S43	low	TcmI	62.8
JOFH01000019.1-13460/1	synthetic_stool_high_S2	high	TcmI	62.7
JOFH01000019.1-17940/2	synthetic_stool_high_S26	high	TcmI	62.7
JOFH01000019.1-20626/2	synthetic_stool_high_S27	high	TcmI	62.7
JOFH01000019.1-16486/1	synthetic_stool_high_S6	high	TcmI	62.7
JOFH01000019.1-6576/2	synthetic_stool_low_S59	low	TcmI	62.7
JOFH01000019.1-6342/1	synthetic_stool_low_S60	low	TcmI	62.7
gi|640932211|gb|JJOH01000028.1|-3352/1	synthetic_stool_high_S61	high	TcmI	62.7
gi|640932211|gb|JJOH01000028.1|-7488/2	synthetic_stool_high_S56	high	TcmI	62.7
gi|640932211|gb|JJOH01000028.1|-2588/1	synthetic_stool_low_S43	low	TcmI	62.7
gi|640932211|gb|JJOH01000028.1|-6174/2	synthetic_stool_low_S43	low	TcmI	62.7
gi|640930959|gb|JJOH01000095.1|-4598/1	synthetic_stool_low_S56	low	TcmI	62.7
JOFH01000019.1-21780/1	synthetic_stool_high_S27	high	TcmI	62.6
gi|640930959|gb|JJOH01000095.1|-3564/1	synthetic_stool_low_S56	low	TcmI	62.6
gi|640930959|gb|JJOH01000095.1|-9242/1	synthetic_stool_high_S61	high	TcmI	62.5
gi|640932211|gb|JJOH01000028.1|-1166/2	synthetic_stool_high_S64	high	TcmI	62.4
gi|640932211|gb|JJOH01000028.1|-1800/1	synthetic_stool_high_S56	high	TcmI	62.4
gi|640930959|gb|JJOH01000095.1|-1834/1	synthetic_stool_low_S69	low	TcmI	62.3
JOFH01000019.1-7912/1	synthetic_stool_high_S64	high	TcmI	62.2
JOFH01000019.1-15798/1	synthetic_stool_low_S60	low	TcmI	62.2
JOFH01000019.1-22646/2	synthetic_stool_low_S68	low	TcmI	62.1
gi|640932211|gb|JJOH01000028.1|-386/2	synthetic_stool_low_S43	low	TcmI	62.1
JOFH01000019.1-21032/1	synthetic_stool_low_S59	low	TcmI	62
