readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
JOFH01000019.1-12214/1	synthetic_stool_high_S59	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-153184/1	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-264830/2	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-287548/1	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-403970/2	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-53224/2	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-79726/1	synthetic_stool_high_S7	high	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-26128/2	synthetic_stool_low_S2	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-8208/1	synthetic_stool_low_S2	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-1086614/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-1118450/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-135102/2	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-225576/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-239942/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-271934/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-32450/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-340322/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-3728/1	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-443064/2	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
JOFH01000019.1-474726/2	synthetic_stool_low_S64	low	TcmI	30_10	80_110	70.7	NZ_JOFH01000019__S.olivaceus__CyclaseTcmI
