reference,2502171179,2503982036,2509276000,2509276001,2509276002,2509601031,2509601041,2509601046,2510065008,2510065011,2510065028,2515154130,2517093012,2519899636,2523231023,2551306140,2556921603,2561511149,2563366763,2574179776,2574179777,2588254304,2616644818,2616645036,2619619006,2619619007,2619619009,2619619092,2622736501,2675903221,2675903232,2681813549,2695420972,2695420979,2716884990,2718217747,2718217812,2718217850,2718217928,2718217948,2718218091,2718218442,2721755529,2724679732,2728369621,2731957717,2770939501,2772190739,2791354970,2841412109,2910277695,2911654447,2911658885,2911672189,2911680932,2911685121,2911689423,2911706278,2911728605,2911948674,2915080438,2917530833,2920755722,2920780691,2920829172,2920833842,2920838192,2923862544,2923875786,2923884989,2923893812,649633031,BLIH01.fasta,BLII01.fasta,BLIK01.fasta,GCF_000016425.1_ASM1642v1_genomic,GCF_000018265.1_ASM1826v1_genomic,GCF_000020585.3_ASM2058v3_genomic,GCF_000161795.2_ASM16179v2_genomic,GCF_000264455.2_ASM26445v2_genomic,GCF_000429125.1_ASM42912v1_genomic,GCF_000723205.1_FAGA1_genomic,GCF_000817775.2_ASM81777v2_genomic,GCF_001310225.1_ASM131022v1_genomic,GCF_001767235.1_ASM176723v1_genomic,GCF_001877055.1_ASM187705v1_genomic,GCF_002776575.1_ASM277657v1_genomic,GCF_003054475.1_ASM305447v1_genomic,GCF_003352105.1_ASM335210v1_genomic,GCF_003612775.1_ASM361277v1_genomic,GCF_006385555.1_ASM638555v1_genomic,GCF_008121535.1_ASM812153v1_genomic,GCF_008824145.1_ASM882414v1_genomic,GCF_009176705.1_ASM917670v1_genomic,GCF_009938185.1_ASM993818v1_genomic,GCF_009938225.1_ASM993822v1_genomic,GCF_014023275.1_ASM1402327v1_genomic,GCF_014279975.1_ASM1427997v1_genomic,GCF_014280235.1_ASM1428023v1_genomic,GCF_016803985.1_ASM1680398v1_genomic,GCF_018141105.1_ASM1814110v1_genomic,GCF_018282095.1_ASM1828209v1_genomic,GCF_900141855.1_IMG-taxon_2622736519_genomic,JABTEL01.fasta,JACNMJ01.fasta,JAEPJQ01.fasta,JAFLND01.fasta,JAGJEC01.fasta,LCTZ01.fasta,LQZQ01.fasta,MSMP01.fasta,QFFG01.fasta,QFRI01.fasta,QFZQ01.fasta,RBCJ01.fasta,SZQF01.fasta,VATY01.fasta,VDCS01.fasta,VEVQ02.fasta,VKDC01.fasta,VLNR01.fasta,VTZU01.fasta,WOWS01.fasta,WUDS01.fasta,
2502171179,99.45910467532467,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.68547294067602,86.38,82.11300000000001,83.26,81.23,79.37,81.75999999999999,nan,nan,86.38,81.27000000000001,nan,81.54,nan,83.08,nan,nan,81.295,86.25679977375566,nan,nan,82.15,nan,nan,nan,86.00833333333333,83.44833333333332,85.60777777777778,85.37166666666667,82.765,82.905,86.31,84.94800000000001,nan,84.92,83.21000000000001,83.58,nan,80.41499999999999,91.67836163318653,81.38499999999999,86.16566754850085,86.23441111111111,85.3486482142857,86.07938398692808,85.41966213151927,85.43741256098399,86.40034670008355,85.65957956349209,81.78791666666666,nan,nan,85.98349074074072,86.17461199294532,86.4109831932773,86.09553235653235,86.09625156325157,86.22595767195764,86.20816964285713,86.22182048374906,86.09488293650796,82.55,81.89,nan,82.02,83.27499999999999,83.11,82.26899999999999,nan,85.07083333333333,81.62,79.83,nan,79.89,nan,83.27,85.925,nan,84.73494791666667,83.235,81.78791666666666,nan,80.93,84.40000000000003,81.98739130434782,81.48833333333333,nan,nan,nan,83.13000000000001,84.685,84.58833333333331,81.79,nan,nan,80.49,81.37,81.465,81.345,nan,nan,nan,82.08,nan,81.225,nan,82.24,83.185,nan,93.94,nan,nan,80.66,79.67,
2503982036,nan,95.23894250905364,nan,nan,nan,87.5308,82.59000000000002,90.015,76.27394230769231,87.15083333333335,nan,nan,87.50699999999998,84.50750000000001,nan,81.4025,81.55,nan,nan,84.75125,82.43999999999998,nan,86.95,nan,87.0,nan,84.8,81.4025,nan,83.69375,83.92624999999998,81.02000000000001,nan,nan,nan,nan,nan,nan,82.89999999999999,80.505,81.37749999999998,81.42500000000001,nan,nan,82.23249999999999,82.045,84.26375,82.995,81.37250000000002,nan,81.58250000000001,nan,nan,nan,nan,nan,nan,nan,nan,82.17499999999995,83.1525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.81800000000001,80.9025,nan,85.3225,83.825,83.825,88.15500000000002,85.64375000000001,nan,81.9725,82.06437499999998,88.32583333333332,81.0825,87.8776923076923,81.423,nan,88.13963855421683,nan,84.03750000000001,82.17499999999995,88.23968806509947,82.62300000000002,86.09499999999997,81.78645833333333,82.09849999999997,87.42125,85.73750000000001,86.14874999999999,81.19410714285719,82.38000000000002,nan,81.5825,82.83000000000001,82.5025,81.9725,81.79249999999999,81.52000000000001,81.58,85.1275,83.3025,81.02000000000001,81.44,82.43249999999999,81.75999999999999,82.44,81.02000000000001,82.33000000000001,83.4475,83.33250000000001,82.29249999999999,81.58250000000001,82.33000000000001,82.15,
2509276000,nan,nan,93.01707360861761,90.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2509276001,nan,nan,90.91,97.5776633165829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.12583333333332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.17916666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2509276002,nan,nan,nan,nan,96.71563025210082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.6,87.945,84.6,nan,nan,78.68,nan,81.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82.62,82.07,nan,nan,nan,nan,87.485,85.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.79999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.11,nan,87.11,nan,nan,87.11,nan,nan,nan,nan,nan,nan,nan,nan,85.98,nan,nan,nan,87.79999999999998,nan,nan,85.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2509601031,nan,88.325625,nan,nan,nan,95.82626840251572,81.49666666666667,87.95666666666666,88.90481481481483,88.295,nan,90.91000000000001,82.64,81.63,nan,82.46,80.31666666666666,nan,nan,82.37833333333333,80.37000000000002,nan,84.93666666666667,nan,84.74833333333333,nan,86.84333333333332,79.69333333333333,nan,85.605,85.605,79.28999999999999,nan,nan,nan,nan,nan,nan,nan,80.38000000000001,80.77,80.86,nan,nan,81.36,80.14,84.73166666666667,81.01,82.14999999999999,nan,79.87,nan,nan,nan,nan,nan,nan,nan,nan,82.70250000000001,81.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.77666666666669,82.84,nan,84.72500000000001,80.39999999999999,80.39999999999999,82.59200000000001,87.57777777777778,82.84000000000002,81.17,82.87750000000001,86.79142857142857,79.36,88.58210526315789,80.30999999999997,nan,88.69333333333333,nan,79.89999999999999,82.70250000000001,88.29,82.19400000000002,85.07999999999998,80.33636363636363,80.02,87.1231818181818,87.82666666666667,89.16666666666669,80.39047619047622,79.83000000000001,nan,79.83333333333333,80.74000000000001,80.63,82.23,80.19,79.83333333333333,80.12,82.19,80.31666666666666,81.01,82.23,82.88,80.30000000000001,80.55666666666667,79.34333333333333,80.63,83.6,83.66666666666667,80.48,80.87,80.25999999999999,81.03333333333332,
2509601041,nan,82.59000000000002,nan,nan,nan,81.49666666666667,97.23010823709328,83.055,82.23,81.16,nan,80.5,79.68499999999997,nan,82.895,83.6625,83.42750000000001,nan,nan,84.68,84.15249999999999,nan,83.55,nan,nan,81.52,82.39,83.41400000000002,nan,81.075,81.075,83.47,nan,nan,82.4075,80.2,80.43,78.19999999999999,79.86500000000001,80.625,80.71999999999998,80.61500000000001,80.22000000000001,nan,81.92,80.0,82.19,84.15,83.89499999999998,nan,83.29599999999999,nan,nan,nan,nan,nan,nan,nan,nan,79.91000000000003,84.1125,84.70500000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.33349999999999,85.43285714285715,84.055,82.66142857142857,nan,nan,81.12,82.26,78.85999999999999,83.47666666666667,83.83375000000002,81.9,83.61250000000001,81.88,nan,79.75,82.21,nan,nan,79.91000000000003,83.162,nan,81.36999999999996,78.86874999999999,77.915,82.85000000000001,82.76,81.51,81.11999999999999,nan,78.87500000000001,82.86500000000001,84.36500000000001,83.915,84.095,82.588,82.855,83.506,85.10125,82.36166666666666,83.506,84.115,85.25142857142858,83.09,84.054,83.4025,85.20166666666667,84.64,85.15399999999998,83.9225,83.745,84.7075,84.17,
2509601046,nan,90.01350000000002,nan,nan,nan,87.95666666666666,83.055,96.26601374570382,88.85,88.376,nan,nan,86.854,nan,nan,80.62,82.495,nan,nan,81.84,81.05000000000001,nan,84.59333333333333,nan,84.70666666666666,nan,86.4,81.355,nan,85.87666666666667,85.76666666666667,81.605,nan,nan,nan,nan,nan,nan,nan,81.16,82.25,80.75,nan,nan,nan,nan,85.34333333333332,83.97999999999999,80.475,nan,81.355,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.23499999999997,83.22999999999999,nan,84.94333333333333,81.32,81.18,88.11,86.40125,nan,81.69,84.745,87.76,81.42999999999999,90.68799999999999,81.97,nan,86.86791666666669,nan,81.01,nan,88.15333333333334,81.538,nan,nan,nan,86.64857142857144,86.38,88.18200000000002,83.33523809523811,81.12,nan,81.355,80.37,80.245,84.9,80.16499999999999,80.125,81.05,83.54499999999999,80.47,81.89500000000001,84.455,84.495,80.965,79.92,80.49000000000001,81.105,84.15,83.535,81.12,80.61500000000001,80.85,80.86,
2510065008,nan,75.751,nan,nan,nan,88.90259259259258,82.23,88.85000000000001,98.77825358851679,89.8722222222222,nan,nan,87.486,84.76,nan,81.01,81.44,nan,nan,84.04,82.71,nan,86.61,nan,86.61,nan,86.43,81.19,nan,84.3,84.32499999999999,81.13,nan,nan,nan,85.02999999999999,nan,nan,nan,84.24,81.96,80.56,nan,nan,83.16,80.93,84.255,84.17,81.30999999999999,nan,81.19,nan,nan,nan,nan,nan,nan,nan,nan,86.4575,82.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.52199999999999,84.17,nan,86.63,82.29,82.29,89.29799999999999,87.32000000000001,nan,81.92,81.7075,86.39777777777778,82.46,87.64290322580646,81.88000000000002,nan,87.58826923076923,nan,82.47000000000001,86.4575,88.14024390243905,83.15600000000002,83.35999999999997,80.86583333333334,80.94599999999998,70.69033846153843,87.00999999999999,87.86444444444447,82.28785714285715,82.14,nan,81.19,81.49,81.92,81.74,80.8,81.31,80.47000000000001,83.51,82.76,81.85,81.37,82.94,81.09,81.85,80.94,82.28,85.15,82.72,80.65,80.36,81.74,81.37,
2510065011,nan,87.14999999999999,nan,nan,nan,88.29333333333334,81.16,88.37400000000001,89.87222222222223,95.49360990911939,nan,nan,84.434,86.225,nan,nan,nan,nan,nan,82.565,nan,nan,84.34,nan,84.36500000000001,nan,86.89,nan,nan,83.79,83.70500000000001,nan,nan,nan,nan,84.42999999999999,nan,nan,82.4,79.24,79.42,80.66,nan,nan,82.63,80.27,84.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.77874999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.11,81.43,80.72,86.962,87.99000000000001,82.13,nan,nan,87.14625000000001,nan,90.03166666666668,80.814,nan,78.04515624999999,nan,81.53,81.77874999999999,94.00235294117647,81.428,82.83,80.79583333333333,80.012,86.575625,87.775,88.07,81.53999999999999,80.98,nan,nan,nan,nan,nan,nan,nan,nan,82.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.1,nan,nan,nan,nan,
