id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
synthetic_stool_high_S7__CP002297.1-263638/2	0	1	100	1	100	100%
synthetic_stool_high_S7__CP014239.1-506178/2	1	1	100	1	100	100%
synthetic_stool_high_S7__CP014148.1-18256/2	2	582	100	1	100	100%
synthetic_stool_high_S7__AM412317.1-770876/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S7__AM412317.1-94100/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S33__CP000728.1-100638/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S14__CP000728.1-300092/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S14__CP014148.1-359304/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S14__CP014148.1-349136/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S14__CP002011.1-1724822/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S14__CP002011.1-1607370/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S14__CP002011.1-1576452/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S14__CP002011.1-1538858/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S14__CP002011.1-744350/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S14__CP002011.1-660144/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S14__AM412317.1-33818/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S11__CP002011.1-562332/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S11__CP006908.1-1277208/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S11__CP006908.1-1084248/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S43__AM412317.1-2513726/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S43__AM412317.1-2279118/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S43__AM412317.1-2194900/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S34__CP000939.1-68990/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S56__CP006908.1-304806/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S56__CP006908.1-78066/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S56__CP014148.1-2641546/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S56__CP014148.1-1689674/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S56__CP014148.1-648246/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S32__CP002011.1-2058328/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S32__CP002011.1-1241602/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S32__CP000939.1-104936/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S46__CP000728.1-2120018/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S46__CP000728.1-1930298/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S46__CP000728.1-1668246/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S46__CP000728.1-1395362/1	2	582	100	0	98.00%	100%
synthetic_stool_high_S46__CP000728.1-770774/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S10__CP014148.1-5394950/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S10__CP014148.1-5137460/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S10__CP014148.1-4206898/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S10__CP014148.1-2539476/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S10__CP014148.1-1206928/2	2	582	100	0	97.00%	100%
synthetic_stool_low_S10__CP014148.1-673116/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S10__CP014148.1-250322/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S10__AM412317.1-8792654/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S10__AM412317.1-8676796/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S10__AM412317.1-7629984/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S10__AM412317.1-3782456/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S10__AM412317.1-2678616/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S10__AM412317.1-1385898/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-23959036/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-23353278/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-20104630/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-18685098/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-18440018/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-17933742/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-17366820/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-14982424/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-11475622/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-11315430/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-10906190/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-10676850/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-9755218/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-8366212/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-7901174/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-6808860/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__CP006908.1-6678200/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-5231394/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-2623600/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__CP006908.1-2525914/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__AM412317.1-6908112/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__AM412317.1-6217608/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__AM412317.1-4966498/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S63__AM412317.1-4366918/2	2	582	100	0	98.00%	100%
synthetic_stool_high_S63__AM412317.1-1244616/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__AM412317.1-404916/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S63__AM412317.1-84886/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S29__CP002011.1-77906/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S45__CP000939.1-3197178/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S45__CP000939.1-2828736/2	2	582	100	0	97.00%	100%
synthetic_stool_high_S45__CP000939.1-2505344/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S45__CP000939.1-2165480/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S45__CP000939.1-1249476/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S45__CP006908.1-2197526/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S66__CP014148.1-14384/2	2	582	100	0	96.00%	100%
synthetic_stool_high_S66__CP002011.1-1342/1	2	582	100	0	99.00%	100%
synthetic_stool_high_S68__AM412317.1-415658/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S57__CP006908.1-20580094/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-18545532/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-17745114/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-17218258/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-17175450/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-16562082/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S57__CP006908.1-16316460/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-12622204/1	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-12554770/1	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-10537804/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-6430666/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S57__CP006908.1-6179692/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-5189122/2	2	582	100	0	96.00%	100%
synthetic_stool_low_S57__CP006908.1-4727944/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S57__CP006908.1-3861540/1	2	582	100	0	97.00%	100%
synthetic_stool_low_S57__CP006908.1-2767330/1	2	582	100	0	96.00%	100%
synthetic_stool_high_S48__CP000728.1-20510/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S58__CP002011.1-102034/1	2	582	100	0	97.00%	100%
synthetic_stool_high_S3__CP002011.1-205768/2	2	582	100	0	98.00%	100%
synthetic_stool_low_S49__CP000939.1-45052626/2	2	582	100	0	96.00%	100%
