id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
synthetic_stool_high_S45__AP009240.1-23496/2	0	2	100	1	100	100%
synthetic_stool_low_S61__AP009240.1-2803044/1	0	2	100	0	97.00%	100%
synthetic_stool_high_S45__FR687360.1-2626/1	1	106	100	1	100	100%
synthetic_stool_low_S50__FR687360.1-60652/1	1	106	100	0	97.00%	100%
synthetic_stool_low_S50__FR687360.1-41332/2	1	106	100	0	97.00%	100%
synthetic_stool_low_S50__FR687360.1-13868/1	1	106	100	0	96.00%	100%
synthetic_stool_high_S18__FR687360.1-365092/1	1	106	100	0	98.00%	100%
synthetic_stool_high_S18__FR687360.1-362372/1	1	106	100	0	98.00%	100%
synthetic_stool_high_S18__FR687360.1-334500/1	1	106	100	0	96.00%	100%
synthetic_stool_high_S18__FR687360.1-315682/2	1	106	100	0	97.00%	100%
synthetic_stool_high_S18__FR687360.1-262300/2	1	106	100	0	96.00%	100%
synthetic_stool_high_S18__FR687360.1-164696/1	1	106	100	0	96.00%	100%
synthetic_stool_high_S18__FR687360.1-35606/2	1	106	100	0	96.00%	100%
synthetic_stool_low_S0__FR687360.1-26374/1	1	106	100	0	96.00%	100%
synthetic_stool_high_S22__FR687360.1-227554/1	1	106	100	0	98.00%	100%
synthetic_stool_high_S22__FR687360.1-51406/2	1	106	100	0	99.00%	100%
synthetic_stool_high_S22__FR687360.1-10694/2	1	106	100	0	97.00%	100%
synthetic_stool_low_S28__FR687360.1-146244/1	1	106	100	0	96.00%	100%
synthetic_stool_high_S28__FR687360.1-303968/1	1	106	100	0	98.00%	100%
synthetic_stool_high_S28__FR687360.1-206134/1	1	106	100	0	98.00%	100%
synthetic_stool_high_S28__FR687360.1-118844/1	1	106	100	0	97.00%	100%
synthetic_stool_high_S28__FR687360.1-76792/2	1	106	100	0	96.00%	100%
synthetic_stool_high_S28__FR687360.1-11254/2	1	106	100	0	96.00%	100%
synthetic_stool_high_S7__FR687360.1-456710/1	1	106	100	0	97.00%	100%
