readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
gi|529222834|ref|NC_021985.1|-493706/2	synthetic_stool_high_S50	high	OxyN	30_10	210_240	73.5	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-22598/1	synthetic_stool_high_S18	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-751670/1	synthetic_stool_high_S18	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-43364/1	synthetic_stool_high_S45	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-557388/1	synthetic_stool_high_S45	high	OxyN	30_10	210_240	72.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-694102/2	synthetic_stool_high_S59	high	OxyN	30_10	210_240	72.6	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-460042/2	synthetic_stool_low_S21	low	OxyN	30_10	210_240	72.6	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-53454/2	synthetic_stool_high_S59	high	OxyN	30_10	210_240	72	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-519446/1	synthetic_stool_low_S21	low	OxyN	30_10	210_240	72	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-6820/1	synthetic_stool_low_S27	low	OxyN	30_10	210_240	71.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-3242/2	synthetic_stool_low_S27	low	OxyN	30_10	210_240	71.5	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-415316/1	synthetic_stool_low_S26	low	OxyN	30_10	210_240	70.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-8498/1	synthetic_stool_high_S13	high	OxyN	30_10	220_250	70.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-7990/1	synthetic_stool_high_S63	high	OxyN	30_10	220_250	70.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-3596/1	synthetic_stool_low_S2	low	OxyN	30_10	220_250	70.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-1994/1	synthetic_stool_low_S39	low	OxyN	30_10	220_250	70.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-9508/1	synthetic_stool_high_S63	high	OxyN	30_10	220_250	70.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-214/1	synthetic_stool_high_S8	high	OxyN	30_10	220_250	70.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-20458/1	synthetic_stool_low_S13	low	OxyN	30_10	220_250	70.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-20754/1	synthetic_stool_low_S18	low	OxyN	30_10	220_250	70.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-21792/2	synthetic_stool_low_S23	low	OxyN	30_10	220_250	70.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2646/2	synthetic_stool_high_S13	high	OxyN	30_10	220_250	70.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-5450/2	synthetic_stool_low_S23	low	OxyN	30_10	220_250	70.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-8840/1	synthetic_stool_high_S6	high	OxyN	30_10	220_250	70.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-16926/1	synthetic_stool_high_S13	high	OxyN	30_10	220_250	69.8	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-838386/2	synthetic_stool_high_S45	high	OxyN	30_10	210_240	69.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-6718/1	synthetic_stool_low_S2	low	OxyN	30_10	220_250	69.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-12788/2	synthetic_stool_low_S69	low	OxyN	30_10	220_250	69.4	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-18354/1	synthetic_stool_low_S18	low	OxyN	30_10	210_240	68.7	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-19134/2	synthetic_stool_low_S23	low	OxyN	30_10	220_250	68.6	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-8434/2	synthetic_stool_high_S57	high	OxyN	30_10	220_250	68.3	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-60680/1	synthetic_stool_high_S45	high	OxyN	30_10	210_240	68.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-185470/2	synthetic_stool_low_S36	low	OxyN	30_10	210_240	68.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-84100/2	synthetic_stool_low_S54	low	OxyN	30_10	210_240	68.2	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-155664/2	synthetic_stool_low_S21	low	OxyN	30_10	210_240	67.9	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-33710/1	synthetic_stool_high_S15	high	OxyN	30_10	200_230	67.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-295040/1	synthetic_stool_high_S59	high	OxyN	30_10	200_230	67.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-173960/1	synthetic_stool_high_S8	high	OxyN	30_10	200_230	67.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-689422/1	synthetic_stool_low_S26	low	OxyN	30_10	200_230	67.8	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|928414697|gb|LGKI01000478.1|-10744/2	synthetic_stool_low_S69	low	OxyN	30_10	210_240	67.8	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
OBDZ01000030.1-2396/1	synthetic_stool_high_S21	high	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-12/1	synthetic_stool_high_S40	high	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-2620/2	synthetic_stool_high_S65	high	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-268/1	synthetic_stool_low_S15	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-3252/2	synthetic_stool_low_S41	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-3972/1	synthetic_stool_low_S41	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-4180/1	synthetic_stool_low_S41	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-3220/2	synthetic_stool_low_S53	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-4570/2	synthetic_stool_low_S53	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-4480/1	synthetic_stool_low_S59	low	OxyN	30_10	220_250	67.8	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
gi|529222834|ref|NC_021985.1|-192918/1	synthetic_stool_high_S15	high	OxyN	30_10	200_230	67.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-517092/2	synthetic_stool_high_S50	high	OxyN	30_10	200_230	67.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|529222834|ref|NC_021985.1|-26610/2	synthetic_stool_low_S26	low	OxyN	30_10	200_230	67.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
OBDZ01000030.1-4278/2	synthetic_stool_high_S21	high	OxyN	30_10	220_250	67.7	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-1574/1	synthetic_stool_high_S65	high	OxyN	30_10	220_250	67.7	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-1592/1	synthetic_stool_high_S65	high	OxyN	30_10	220_250	67.7	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-2338/1	synthetic_stool_high_S65	high	OxyN	30_10	220_250	67.7	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-3458/1	synthetic_stool_low_S59	low	OxyN	30_10	220_250	67.7	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-850/1	synthetic_stool_low_S53	low	OxyN	30_10	220_250	67.5	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
OBDZ01000030.1-118/1	synthetic_stool_high_S15	high	OxyN	30_10	220_250	67.3	OBDZ01000030__Orenia_metallireducens_strain_MSL47__Cyclase
gi|928414697|gb|LGKI01000478.1|-16656/1	synthetic_stool_high_S57	high	OxyN	30_10	220_250	67.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-7130/1	synthetic_stool_high_S63	high	OxyN	30_10	220_250	67.2	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-1674/1	synthetic_stool_high_S6	high	OxyN	30_10	220_250	67.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-13210/1	synthetic_stool_low_S23	low	OxyN	30_10	220_250	67.1	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|529222834|ref|NC_021985.1|-444586/1	synthetic_stool_high_S15	high	OxyN	30_10	210_240	66.7	NC_021985.1__S.collinus_Tu365_Rubromycin__Cyclase1
gi|640937269|gb|JJOH01000002.1|-12952/2	synthetic_stool_low_S49	low	OxyN	30_10	210_240	66.7	JJOH01000002.1__S.olindensis_strain_DAUFPE_5622_Cosmomycin__Cyclase
gi|928414697|gb|LGKI01000478.1|-630/1	synthetic_stool_high_S21	high	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-2522/1	synthetic_stool_high_S4	high	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-13588/2	synthetic_stool_high_S57	high	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-15770/2	synthetic_stool_high_S6	high	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10336/2	synthetic_stool_high_S8	high	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-10960/2	synthetic_stool_low_S18	low	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
gi|928414697|gb|LGKI01000478.1|-20112/1	synthetic_stool_low_S18	low	OxyN	30_10	80_110	66.5	LGKI01000478__Thermoactinomyces_vulgaris_strain_NRRL_F-5595__Cyclase
