readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
gi|640932211|gb|JJOH01000028.1|-8534/1	synthetic_stool_low_S65	low	TcmN	30_10	160_190	52.4	JJOH01000028.1__S.olindensis_strain_DAUFPE_5622__ctg28_orf00053__cyclase/dehydrase
JOFH01000019.1-324108/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.9	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-298586/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.8	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-778028/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.5	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-180374/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.4	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-988850/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.4	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-447826/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.3	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-152584/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-190824/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-272792/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-293878/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-296220/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-314318/2	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-329752/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-351288/2	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-386168/2	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-70558/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-91364/1	synthetic_stool_high_S7	high	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-73042/2	synthetic_stool_low_S2	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-8060/2	synthetic_stool_low_S2	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1029680/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1048216/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1084062/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1093366/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1102222/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1116504/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1116516/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-114036/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1150882/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1161176/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-1179506/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-14994/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-159220/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-180472/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-21936/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-227772/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-283614/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-301990/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-378414/1	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
JOFH01000019.1-461954/2	synthetic_stool_low_S64	low	TcmN	30_10	160_190	51.1	NZ_JOFH01000019__S.olivaceus__Cyclase
