readID	Sample	sampleType	cyclaseType	HMMScore
gi|640930959|gb|JJOH01000095.1|-11860/1	synthetic_stool_low_S29	low	TcmN	53.5
JOFH01000019.1-16600/1	synthetic_stool_high_S2	high	TcmN	51.9
gi|640930959|gb|JJOH01000095.1|-14166/2	synthetic_stool_high_S61	high	TcmN	51.4
JOFH01000019.1-5336/2	synthetic_stool_high_S2	high	TcmN	51.1
JOFH01000019.1-4838/2	synthetic_stool_high_S27	high	TcmN	51.1
JOFH01000019.1-18828/1	synthetic_stool_high_S69	high	TcmN	51.1
JOFH01000019.1-16222/2	synthetic_stool_low_S0	low	TcmN	51.1
JOFH01000019.1-16644/2	synthetic_stool_low_S30	low	TcmN	51.1
JOFH01000019.1-2452/1	synthetic_stool_low_S45	low	TcmN	51.1
JOFH01000019.1-8256/2	synthetic_stool_low_S45	low	TcmN	51.1
JOFH01000019.1-6460/2	synthetic_stool_high_S27	high	TcmN	51
JOFH01000019.1-8278/1	synthetic_stool_low_S30	low	TcmN	51
JOFH01000019.1-23074/2	synthetic_stool_low_S59	low	TcmN	51
gi|640930959|gb|JJOH01000095.1|-1534/1	synthetic_stool_low_S0	low	TcmN	50.8
JOFH01000019.1-17360/1	synthetic_stool_high_S26	high	TcmN	50.6
gi|640930959|gb|JJOH01000095.1|-6448/1	synthetic_stool_low_S56	low	TcmN	50.6
JOFH01000019.1-16796/2	synthetic_stool_low_S60	low	TcmN	50.6
gi|640930959|gb|JJOH01000095.1|-11266/2	synthetic_stool_high_S31	high	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-6348/2	synthetic_stool_high_S31	high	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-906/1	synthetic_stool_high_S31	high	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-244/1	synthetic_stool_high_S61	high	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-7248/2	synthetic_stool_high_S61	high	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-11796/1	synthetic_stool_low_S43	low	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-5044/1	synthetic_stool_low_S43	low	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-5988/1	synthetic_stool_low_S43	low	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-13092/2	synthetic_stool_low_S49	low	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-1284/1	synthetic_stool_low_S49	low	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-1512/2	synthetic_stool_low_S56	low	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-8818/1	synthetic_stool_low_S56	low	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-2994/1	synthetic_stool_low_S56	low	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-948/1	synthetic_stool_low_S69	low	TcmN	50.5
gi|640930959|gb|JJOH01000095.1|-4232/1	synthetic_stool_low_S29	low	TcmN	50.5
gi|640932211|gb|JJOH01000028.1|-14/1	synthetic_stool_high_S39	high	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-19858/2	synthetic_stool_high_S56	high	TcmN	50.4
gi|640932211|gb|JJOH01000028.1|-5252/2	synthetic_stool_high_S61	high	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-17628/1	synthetic_stool_low_S29	low	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-20940/1	synthetic_stool_low_S29	low	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-3564/1	synthetic_stool_low_S29	low	TcmN	50.4
gi|640932211|gb|JJOH01000028.1|-4864/1	synthetic_stool_low_S29	low	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-2470/1	synthetic_stool_low_S49	low	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-14124/2	synthetic_stool_low_S56	low	TcmN	50.4
gi|640932211|gb|JJOH01000028.1|-226/1	synthetic_stool_low_S56	low	TcmN	50.4
gi|640932211|gb|JJOH01000028.1|-6668/2	synthetic_stool_low_S56	low	TcmN	50.4
gi|640932211|gb|JJOH01000028.1|-324/1	synthetic_stool_low_S69	low	TcmN	50.4
gi|640930959|gb|JJOH01000095.1|-18346/1	synthetic_stool_low_S29	low	TcmN	50
gi|640932211|gb|JJOH01000028.1|-1222/1	synthetic_stool_high_S31	high	TcmN	49.9
gi|640930959|gb|JJOH01000095.1|-19364/2	synthetic_stool_high_S56	high	TcmN	49.7
gi|640932211|gb|JJOH01000028.1|-838/2	synthetic_stool_high_S31	high	TcmN	49.5
gi|640930959|gb|JJOH01000095.1|-10852/1	synthetic_stool_high_S49	high	TcmN	49.5
gi|640932211|gb|JJOH01000028.1|-2240/2	synthetic_stool_high_S64	high	TcmN	49.5
gi|640930959|gb|JJOH01000095.1|-6814/2	synthetic_stool_low_S49	low	TcmN	49.5
gi|640932211|gb|JJOH01000028.1|-7292/2	synthetic_stool_low_S53	low	TcmN	49.5
gi|640930959|gb|JJOH01000095.1|-8424/2	synthetic_stool_low_S56	low	TcmN	49.5
gi|640930959|gb|JJOH01000095.1|-5158/1	synthetic_stool_high_S56	high	TcmN	49.4
gi|640930959|gb|JJOH01000095.1|-15674/2	synthetic_stool_high_S61	high	TcmN	49.4
gi|640932211|gb|JJOH01000028.1|-4044/2	synthetic_stool_high_S64	high	TcmN	49.4
gi|640930959|gb|JJOH01000095.1|-18530/1	synthetic_stool_low_S56	low	TcmN	49.4
gi|640932211|gb|JJOH01000028.1|-1002/2	synthetic_stool_low_S56	low	TcmN	49.4
gi|640932211|gb|JJOH01000028.1|-340/2	synthetic_stool_high_S31	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-16248/1	synthetic_stool_high_S56	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-2212/2	synthetic_stool_high_S56	high	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-344/2	synthetic_stool_high_S56	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-3510/1	synthetic_stool_high_S64	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-6930/1	synthetic_stool_high_S64	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-7982/1	synthetic_stool_high_S64	high	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-2804/2	synthetic_stool_high_S64	high	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-3648/2	synthetic_stool_high_S64	high	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-2234/1	synthetic_stool_low_S43	low	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-4248/2	synthetic_stool_low_S56	low	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-4676/1	synthetic_stool_low_S56	low	TcmN	49.3
gi|640930959|gb|JJOH01000095.1|-394/1	synthetic_stool_low_S69	low	TcmN	49.3
gi|640932211|gb|JJOH01000028.1|-4368/1	synthetic_stool_high_S31	high	TcmN	49.2
gi|640932211|gb|JJOH01000028.1|-7066/2	synthetic_stool_high_S31	high	TcmN	49.2
gi|640930959|gb|JJOH01000095.1|-17602/2	synthetic_stool_high_S61	high	TcmN	49.2
gi|640930959|gb|JJOH01000095.1|-12624/1	synthetic_stool_low_S43	low	TcmN	49.2
gi|640930959|gb|JJOH01000095.1|-14650/1	synthetic_stool_low_S49	low	TcmN	49.2
gi|640932211|gb|JJOH01000028.1|-1040/1	synthetic_stool_low_S49	low	TcmN	49.2
gi|640932211|gb|JJOH01000028.1|-6192/2	synthetic_stool_low_S49	low	TcmN	49.2
gi|640932211|gb|JJOH01000028.1|-6660/1	synthetic_stool_low_S56	low	TcmN	49.2
gi|640930959|gb|JJOH01000095.1|-8678/2	synthetic_stool_high_S31	high	TcmN	49.1
gi|640932211|gb|JJOH01000028.1|-3404/1	synthetic_stool_high_S49	high	TcmN	49.1
gi|640930959|gb|JJOH01000095.1|-21370/1	synthetic_stool_high_S56	high	TcmN	49.1
gi|640930959|gb|JJOH01000095.1|-15194/1	synthetic_stool_high_S61	high	TcmN	49.1
gi|640930959|gb|JJOH01000095.1|-9804/2	synthetic_stool_low_S29	low	TcmN	49.1
gi|640930959|gb|JJOH01000095.1|-5674/1	synthetic_stool_low_S43	low	TcmN	49.1
gi|640932211|gb|JJOH01000028.1|-4700/1	synthetic_stool_low_S53	low	TcmN	49.1
gi|640932211|gb|JJOH01000028.1|-2750/1	synthetic_stool_low_S56	low	TcmN	49.1
gi|640930959|gb|JJOH01000095.1|-3664/1	synthetic_stool_low_S43	low	TcmN	49.1
JOFH01000019.1-17238/2	synthetic_stool_high_S19	high	TcmN	49
gi|640932211|gb|JJOH01000028.1|-3180/2	synthetic_stool_high_S64	high	TcmN	49
gi|640930959|gb|JJOH01000095.1|-6764/2	synthetic_stool_low_S53	low	TcmN	49
JOFH01000019.1-19636/1	synthetic_stool_high_S27	high	TcmN	48.7
gi|640932211|gb|JJOH01000028.1|-3856/2	synthetic_stool_high_S56	high	TcmN	48.6
gi|640930959|gb|JJOH01000095.1|-10396/1	synthetic_stool_high_S61	high	TcmN	48.6
gi|640932211|gb|JJOH01000028.1|-1524/1	synthetic_stool_high_S61	high	TcmN	48.5
gi|640932211|gb|JJOH01000028.1|-4792/2	synthetic_stool_high_S31	high	TcmN	48.5
gi|640932211|gb|JJOH01000028.1|-3102/1	synthetic_stool_high_S61	high	TcmN	48.5
gi|640932211|gb|JJOH01000028.1|-3332/2	synthetic_stool_high_S64	high	TcmN	48.5
gi|640930959|gb|JJOH01000095.1|-756/1	synthetic_stool_low_S29	low	TcmN	48.5
gi|640930959|gb|JJOH01000095.1|-17784/1	synthetic_stool_low_S49	low	TcmN	48.5
gi|640932211|gb|JJOH01000028.1|-2980/1	synthetic_stool_low_S49	low	TcmN	48.5
gi|640930959|gb|JJOH01000095.1|-7746/1	synthetic_stool_low_S53	low	TcmN	48.5
JOFH01000019.1-18970/2	synthetic_stool_high_S37	high	TcmN	48.4
gi|640932211|gb|JJOH01000028.1|-2078/2	synthetic_stool_low_S56	low	TcmN	48.4
JOFH01000019.1-22164/2	synthetic_stool_low_S59	low	TcmN	48.3
JOFH01000019.1-3342/2	synthetic_stool_low_S68	low	TcmN	48.3
gi|640930959|gb|JJOH01000095.1|-6610/2	synthetic_stool_high_S31	high	TcmN	48.2
JOFH01000019.1-16204/2	synthetic_stool_high_S35	high	TcmN	48.2
gi|640930959|gb|JJOH01000095.1|-578/1	synthetic_stool_high_S39	high	TcmN	48.2
gi|640932211|gb|JJOH01000028.1|-7170/2	synthetic_stool_low_S56	low	TcmN	48.2
gi|640932211|gb|JJOH01000028.1|-954/2	synthetic_stool_high_S31	high	TcmN	48.1
gi|640932211|gb|JJOH01000028.1|-6124/2	synthetic_stool_low_S49	low	TcmN	48.1
gi|640932211|gb|JJOH01000028.1|-8034/1	synthetic_stool_high_S56	high	TcmN	48
JOFH01000019.1-21028/1	synthetic_stool_low_S30	low	TcmN	48
JOFH01000019.1-14230/1	synthetic_stool_low_S59	low	TcmN	48
gi|640930959|gb|JJOH01000095.1|-9426/2	synthetic_stool_low_S49	low	TcmN	48
JOFH01000019.1-652/1	synthetic_stool_high_S18	high	TcmN	47.9
gi|640930959|gb|JJOH01000095.1|-10842/2	synthetic_stool_high_S49	high	TcmN	47.9
gi|640930959|gb|JJOH01000095.1|-9646/1	synthetic_stool_high_S31	high	TcmN	47.9
gi|640932211|gb|JJOH01000028.1|-5892/1	synthetic_stool_high_S64	high	TcmN	47.9
gi|640930959|gb|JJOH01000095.1|-11864/1	synthetic_stool_low_S53	low	TcmN	47.9
gi|640932211|gb|JJOH01000028.1|-4122/2	synthetic_stool_high_S56	high	TcmN	47.8
gi|640932211|gb|JJOH01000028.1|-3318/2	synthetic_stool_low_S53	low	TcmN	47.8
gi|640932211|gb|JJOH01000028.1|-2784/2	synthetic_stool_low_S43	low	TcmN	47.7
gi|640932211|gb|JJOH01000028.1|-6262/1	synthetic_stool_low_S49	low	TcmN	47.7
gi|640932211|gb|JJOH01000028.1|-414/1	synthetic_stool_low_S67	low	TcmN	47.7
JOFH01000019.1-23676/2	synthetic_stool_low_S68	low	TcmN	47.7
gi|529222834|ref|NC_021985.1|-289350/2	synthetic_stool_high_S59	high	TcmN	47.7
gi|529222834|ref|NC_021985.1|-36344/1	synthetic_stool_low_S36	low	TcmN	47.7
gi|640932211|gb|JJOH01000028.1|-4164/2	synthetic_stool_low_S29	low	TcmN	47.5
gi|640932211|gb|JJOH01000028.1|-7190/1	synthetic_stool_low_S29	low	TcmN	47.5
gi|640932211|gb|JJOH01000028.1|-4666/1	synthetic_stool_low_S53	low	TcmN	47.5
gi|640930959|gb|JJOH01000095.1|-13736/1	synthetic_stool_high_S49	high	TcmN	47.4
gi|640932211|gb|JJOH01000028.1|-6968/1	synthetic_stool_low_S56	low	TcmN	47.4
gi|640930959|gb|JJOH01000095.1|-18364/2	synthetic_stool_high_S61	high	TcmN	47.4
gi|640932211|gb|JJOH01000028.1|-5392/2	synthetic_stool_high_S61	high	TcmN	47.4
gi|640930959|gb|JJOH01000095.1|-7770/1	synthetic_stool_low_S43	low	TcmN	47.4
gi|640930959|gb|JJOH01000095.1|-17158/1	synthetic_stool_low_S49	low	TcmN	47.4
gi|640932211|gb|JJOH01000028.1|-2604/1	synthetic_stool_high_S64	high	TcmN	47.2
JOFH01000019.1-6060/1	synthetic_stool_low_S36	low	TcmN	47.2
gi|529222834|ref|NC_021985.1|-328658/2	synthetic_stool_high_S40	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-749422/2	synthetic_stool_high_S40	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-57958/2	synthetic_stool_high_S50	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-752334/2	synthetic_stool_high_S50	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-565448/2	synthetic_stool_high_S59	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-279098/1	synthetic_stool_high_S8	high	TcmN	47.1
gi|529222834|ref|NC_021985.1|-292190/1	synthetic_stool_low_S21	low	TcmN	47.1
gi|529222834|ref|NC_021985.1|-596436/1	synthetic_stool_low_S26	low	TcmN	47.1
gi|529222834|ref|NC_021985.1|-658468/2	synthetic_stool_low_S26	low	TcmN	47.1
gi|529222834|ref|NC_021985.1|-759476/1	synthetic_stool_low_S26	low	TcmN	47.1
gi|529222834|ref|NC_021985.1|-71632/2	synthetic_stool_high_S18	high	TcmN	47
gi|529222834|ref|NC_021985.1|-553094/1	synthetic_stool_high_S45	high	TcmN	47
gi|529222834|ref|NC_021985.1|-618064/2	synthetic_stool_high_S50	high	TcmN	47
JOFH01000019.1-20978/1	synthetic_stool_high_S69	high	TcmN	47
