readID	Sample	sampleType	cyclase_type	window	interval	HMMScore	qseqid
AZXI01000013.1-11776/2	synthetic_stool_high_S15	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-2894/2	synthetic_stool_high_S25	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-2928/2	synthetic_stool_high_S25	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-12350/2	synthetic_stool_high_S28	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-5452/1	synthetic_stool_high_S37	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-5896/2	synthetic_stool_high_S38	high	TcmJ	30_10	30_60	48.4	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-2926/1	synthetic_stool_high_S28	high	TcmJ	30_10	30_60	48.3	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-3338/1	synthetic_stool_high_S69	high	TcmJ	30_10	30_60	48.3	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-2338/2	synthetic_stool_low_S9	low	TcmJ	30_10	30_60	47.3	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-9248/1	synthetic_stool_high_S24	high	TcmJ	30_10	30_60	47.2	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-254/1	synthetic_stool_high_S29	high	TcmJ	30_10	30_60	47	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-1106/2	synthetic_stool_high_S69	high	TcmJ	30_10	30_60	47	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
AZXI01000013.1-1310/1	synthetic_stool_low_S4	low	TcmJ	30_10	30_60	46.8	AZXI01000013.1__Salinispora_arenicola_CNB527__ctg13_orf00144__AraC_family_transcriptional_regulator
JOFH01000019.1-16334/1	synthetic_stool_low_S45	low	TcmJ	30_10	90_120	46.7	NZ_JOFH01000019__S.olivaceus__IG94_RS0121830
JOFH01000019.1-9276/2	synthetic_stool_high_S69	high	TcmJ	30_10	30_60	46.6	NZ_JOFH01000019__S.olivaceus__IG94_RS0121830
JOFH01000019.1-21724/1	synthetic_stool_low_S45	low	TcmJ	30_10	30_60	46.6	NZ_JOFH01000019__S.olivaceus__IG94_RS0121830
